Importer,Year,Value,Ad val. duties,Number of lines,Viet Nam
,(US$),Simple average,MFN duties,Pref. duties,Viet Nam
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Viet Nam
390430 - Vinyl chloride-vinyl acetate copolymers,"13,755",7.50,7.50,2,,,,Viet Nam
390440 - Other vinyl chloride copolymers,,7.50,7.50,1,,,,Viet Nam
390450 - Vinylidene chloride polymers,,7.50,7.50,2,,,,Viet Nam
390461 -- Polytetrafluoroethylene,,7.50,7.50,1,,,,Viet Nam
390469 -- Other,,7.50,7.50,2,,,,Viet Nam
390490 - Other,"4,943",7.50,7.50,1,,,,Viet Nam
390512 -- In aqueous dispersion,,7.50,7.50,3,,,,Viet Nam
390519 -- Other,,7.50,7.50,3,,,,Viet Nam
390521 -- In aqueous dispersion,,7.50,7.50,1,,,,Viet Nam
390529 -- Other,,7.50,7.50,1,,,,Viet Nam
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,7.50,7.50,1,,,,Viet Nam
390591 -- Copolymers,,7.50,7.50,1,,,,Viet Nam
390599 -- Other,,7.50,7.50,2,,,,Viet Nam
390610 - Poly(methyl methacrylate),,7.50,7.50,2,,,,Viet Nam
390690 - Other,"714,454",7.50,7.50,4,,,,Viet Nam
390710 - Polyacetals,,7.50,7.50,1,,,,Viet Nam
390720 - Other polyethers,"69,692",7.50,7.50,2,,,,Viet Nam
390730 - Epoxide resins,"18,632",7.50,7.50,2,,,,Viet Nam
390740 - Polycarbonates,,7.50,7.50,1,,,,Viet Nam
390750 - Alkyd resins,,7.50,7.50,1,,,,Viet Nam
390760 - Poly(ethylene terephthalate),,7.50,7.50,3,,,,Viet Nam
390770 - Poly(lactic acid),,7.50,7.50,1,,,,Viet Nam
390791 -- Unsaturated,115,7.50,7.50,6,,,,Viet Nam
390799 -- Other,"5,685",7.50,7.50,3,,,,Viet Nam
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12","109,548",10.00,10.00,2,,,,Viet Nam
390890 - Other,,10.00,10.00,3,,,,Viet Nam
390910 - Urea resins; thiourea resins,,7.50,7.50,2,,,,Viet Nam
390920 - Melamine resins,,7.50,7.50,2,,,,Viet Nam
390930 - Other amino-resins,,7.50,7.50,2,,,,Viet Nam
390940 - Phenolic resins,,7.50,7.50,7,,,,Viet Nam
390950 - Polyurethanes,"666,816",7.50,7.50,1,,,,Viet Nam
391000 Silicones in primary forms.,"64,774",7.50,7.50,3,,,,Viet Nam
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,7.50,7.50,2,,,,Viet Nam
391190 - Other,"106,868",7.50,7.50,2,,,,Viet Nam
391211 -- Non-plasticised,,7.50,7.50,5,,,,Viet Nam
391212 -- Plasticised,,7.50,7.50,4,,,,Viet Nam
391220 - Cellulose nitrates (including collodions),,7.50,7.50,4,,,,Viet Nam
391231 -- Carboxymethylcellulose and its salts,,7.50,7.50,1,,,,Viet Nam
391239 -- Other,,7.50,7.50,6,,,,Viet Nam
391290 - Other,,7.50,7.50,3,,,,Viet Nam
"391310 - Alginic acid, its salts and esters",,7.50,7.50,2,,,,Viet Nam
391390 - Other,,7.50,7.50,5,,,,Viet Nam
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,7.50,7.50,3,,,,Viet Nam
391510 - Of polymers of ethylene,,7.50,7.50,1,,,,Viet Nam
391520 - Of polymers of styrene,,7.50,7.50,1,,,,Viet Nam
391530 - Of polymers of vinyl chloride,"17,122",7.50,7.50,2,,,,Viet Nam
391590 - Of other plastics,,7.50,7.50,17,,,,Viet Nam
391610 - Of polymers of ethylene,"9,090",10.00,10.00,3,,,,Viet Nam
391620 - Of polymers of vinyl chloride,,10.00,10.00,4,,,,Viet Nam
391690 - Of other plastics,,10.00,10.00,17,,,,Viet Nam
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,"2,668",10.00,10.00,2,,,,Viet Nam
391721 -- Of polymers of ethylene,,10.00,10.00,2,,,,Viet Nam
391722 -- Of polymers of propylene,,10.00,10.00,1,,,,Viet Nam
391723 -- Of polymers of vinyl chloride,,10.00,10.00,2,,,,Viet Nam
391729 -- Of other plastics,"2,720",10.00,10.00,6,,,,Viet Nam
"391731 -- Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa","1,320",10.00,10.00,1,,,,Viet Nam
"391732 -- Other, not reinforced or otherwise combined with other materials, without fittings","145,156",10.00,10.00,3,,,,Viet Nam
"391733 -- Other, not reinforced or otherwise combined with other materials, with fittings",498,10.00,10.00,1,,,,Viet Nam
391739 -- Other,"107,745",10.00,10.00,3,,,,Viet Nam
391740 - Fittings,,10.00,10.00,1,,,,Viet Nam
391810 - Of polymers of vinyl chloride,"72,959",10.00,10.00,2,,,,Viet Nam
391890 - Of other plastics,,10.00,10.00,3,,,,Viet Nam
391910 - In rolls of a width not exceeding 20 cm,,10.00,10.00,1,,,,Viet Nam
391990 - Other,"3,174,289",10.00,10.00,3,,,,Viet Nam
392010 - Of polymers of ethylene,"316,796",10.00,10.00,6,,,,Viet Nam
392020 - Of polymers of propylene,31,10.00,10.00,3,,,,Viet Nam
392030 - Of polymers of styrene,"83,644",10.00,10.00,3,,,,Viet Nam
392043 -- Containing by weight not less than 6 % of plasticisers,"396,727",10.00,10.00,1,,,,Viet Nam
392049 -- Other,"5,282",10.00,10.00,1,,,,Viet Nam
392051 -- Of poly(methyl methacrylate),"833,683",10.00,10.00,6,,,,Viet Nam
392059 -- Other,"27,468",10.00,10.00,6,,,,Viet Nam
392061 -- Of polycarbonates,,10.00,10.00,3,,,,Viet Nam
392062 -- Of poly(ethylene terephthalate),209,10.00,10.00,3,,,,Viet Nam
392063 -- Of unsaturated polyesters,,10.00,10.00,3,,,,Viet Nam
392069 -- Of other polyesters,"36,985",10.00,10.00,12,,,,Viet Nam
392071 -- Of regenerated cellulose,,10.00,10.00,7,,,,Viet Nam
392073 -- Of cellulose acetate,,10.00,10.00,9,,,,Viet Nam
392079 -- Of other cellulose derivatives,,10.00,10.00,6,,,,Viet Nam
392091 -- Of poly(vinyl butyral),,10.00,10.00,3,,,,Viet Nam
392092 -- Of polyamides,"4,236",10.00,10.00,6,,,,Viet Nam
392093 -- Of amino-resins,,10.00,10.00,3,,,,Viet Nam
392094 -- Of phenolic resins,,10.00,10.00,3,,,,Viet Nam
392099 -- Of other plastics,"27,053",10.00,10.00,19,,,,Viet Nam
392111 -- Of polymers of styrene,,10.00,10.00,1,,,,Viet Nam
392112 -- Of polymers of vinyl chloride,,10.00,10.00,1,,,,Viet Nam
392113 -- Of polyurethanes,"404,033",10.00,10.00,2,,,,Viet Nam
392114 -- Of regenerated cellulose,,10.00,10.00,1,,,,Viet Nam
