Importer,Year,Value,Ad val. duties,Number of lines,Brazil
,(US$),Simple average,MFN duties,Pref. duties,Brazil
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Brazil
,2015,"19,216,404",5.34,5.34,171,162,,,Brazil
"040110 - Of a fat content, by weight, not exceeding 1 %","1,995",,,2,2,,,Brazil
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",62,,,4,4,,,Brazil
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,2,2,,,Brazil
"040150 - Of a fat content, by weight, exceeding 10 %",94,,,6,6,,,Brazil
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %","2,562",,,4,4,,,Brazil
040221 -- Not containing added sugar or other sweetening matter,824,,,4,4,,,Brazil
040229 -- Other,,,,5,5,,,Brazil
040291 -- Not containing added sugar or other sweetening matter,149,,,6,6,,,Brazil
040299 -- Other,389,,,5,5,,,Brazil
040310 - Yogurt,331,,,12,12,,,Brazil
040390 - Other,364,,,18,18,,,Brazil
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,Brazil
040490 - Other,,,,6,6,,,Brazil
040510 - Butter,903,,,5,5,,,Brazil
040520 - Dairy spreads,,,,3,3,,,Brazil
040590 - Other,,,,2,2,,,Brazil
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",490,,,3,3,,,Brazil
"040620 - Grated or powdered cheese, of all kinds",316,,,1,1,,,Brazil
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,Brazil
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,Brazil
040690 - Other cheese,"30,059",,,32,32,,,Brazil
040711 -- Of fowls of the species Gallus domesticus,"306,277",,,1,1,,,Brazil
040719 -- Other,,7.70,7.70,3,2,,,Brazil
040721 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Brazil
040729 -- Other,,7.70,7.70,2,1,,,Brazil
040790 - Others,,7.70,7.70,2,1,,,Brazil
040811 -- Dried,"1,001",0.00,0.00,2,1,,,Brazil
040819 -- Other,,0.00,0.00,3,2,,,Brazil
040891 -- Dried,140,0.00,0.00,2,1,,,Brazil
040899 -- Other,33,0.00,0.00,2,1,,,Brazil
040900 Natural honey.,"17,859,435",17.30,17.30,1,,,,Brazil
"041000 Edible products of animal origin, not elsewhere specified or included.","1,010,980",7.70,7.70,1,,,,Brazil
,2014,"14,039,214",5.77,5.77,172,161,,,Brazil
"040110 - Of a fat content, by weight, not exceeding 1 %","1,363",,,2,2,,,Brazil
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,4,4,,,Brazil
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,2,2,,,Brazil
"040150 - Of a fat content, by weight, exceeding 10 %","1,031",,,6,6,,,Brazil
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",434,,,4,4,,,Brazil
040221 -- Not containing added sugar or other sweetening matter,598,,,4,4,,,Brazil
040229 -- Other,1,,,5,5,,,Brazil
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Brazil
040299 -- Other,953,,,5,5,,,Brazil
040310 - Yogurt,"1,006",,,12,12,,,Brazil
040390 - Other,440,,,18,18,,,Brazil
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,Brazil
040490 - Other,,,,6,6,,,Brazil
040510 - Butter,308,,,5,5,,,Brazil
040520 - Dairy spreads,74,,,3,3,,,Brazil
040590 - Other,98,,,2,2,,,Brazil
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",186,,,2,2,,,Brazil
"040620 - Grated or powdered cheese, of all kinds",146,7.70,7.70,2,1,,,Brazil
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,Brazil
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,Brazil
040690 - Other cheese,162,7.70,7.70,33,32,,,Brazil
040711 -- Of fowls of the species Gallus domesticus,"1,161,478",,,1,1,,,Brazil
040719 -- Other,,7.70,7.70,3,2,,,Brazil
040721 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Brazil
040729 -- Other,,7.70,7.70,2,1,,,Brazil
040790 - Others,,7.70,7.70,2,1,,,Brazil
040811 -- Dried,,0.00,0.00,2,1,,,Brazil
040819 -- Other,,0.00,0.00,3,2,,,Brazil
040891 -- Dried,,0.00,0.00,2,1,,,Brazil
040899 -- Other,85,0.00,0.00,2,1,,,Brazil
040900 Natural honey.,"12,250,876",17.30,17.30,1,,,,Brazil
"041000 Edible products of animal origin, not elsewhere specified or included.","619,975",7.70,7.70,1,,,,Brazil
,2013,"11,188,116",5.77,4.35,172,161,18,14,Brazil
"040110 - Of a fat content, by weight, not exceeding 1 %",1,,,2,2,,,Brazil
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,4,4,,,Brazil
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,2,2,,,Brazil
"040150 - Of a fat content, by weight, exceeding 10 %",345,,,6,6,,,Brazil
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",400,,,4,4,,,Brazil
040221 -- Not containing added sugar or other sweetening matter,,,,4,4,,,Brazil
040229 -- Other,292,,,5,5,,,Brazil
040291 -- Not containing added sugar or other sweetening matter,1,,,6,6,,,Brazil
040299 -- Other,252,,,5,5,,,Brazil
040310 - Yogurt,598,,,12,12,6,6,Brazil
040390 - Other,146,,,18,18,6,6,Brazil
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter","87,158",,,24,24,,,Brazil
040490 - Other,27,,,6,6,,,Brazil
040510 - Butter,279,,,5,5,,,Brazil
040520 - Dairy spreads,,,,3,3,2,2,Brazil
040590 - Other,,,,2,2,,,Brazil
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,2,2,,,Brazil
"040620 - Grated or powdered cheese, of all kinds",106,7.70,7.70,2,1,,,Brazil
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,Brazil
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,Brazil
040690 - Other cheese,146,7.70,7.70,33,32,,,Brazil
040711 -- Of fowls of the species Gallus domesticus,"250,956",,,1,1,,,Brazil
040719 -- Other,,7.70,4.20,3,2,1,,Brazil
040721 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Brazil
040729 -- Other,,7.70,4.20,2,1,1,,Brazil
040790 - Others,,7.70,4.20,2,1,1,,Brazil
040811 -- Dried,,0.00,0.00,2,1,,,Brazil
040819 -- Other,,0.00,0.00,3,2,,,Brazil
040891 -- Dried,,0.00,0.00,2,1,,,Brazil
040899 -- Other,53,0.00,0.00,2,1,,,Brazil
040900 Natural honey.,"10,478,736",17.30,17.30,1,,,,Brazil
"041000 Edible products of animal origin, not elsewhere specified or included.","368,619",7.70,2.60,1,,1,,Brazil
,2012,"15,006,595",5.77,4.35,172,161,18,14,Brazil
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,2,2,,,Brazil
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,4,4,,,Brazil
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,2,2,,,Brazil
"040150 - Of a fat content, by weight, exceeding 10 %",463,,,6,6,,,Brazil
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",425,,,4,4,,,Brazil
040221 -- Not containing added sugar or other sweetening matter,,,,4,4,,,Brazil
040229 -- Other,,,,5,5,,,Brazil
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Brazil
040299 -- Other,167,,,5,5,,,Brazil
040310 - Yogurt,82,,,12,12,6,6,Brazil
040390 - Other,,,,18,18,6,6,Brazil
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,Brazil
040490 - Other,,,,6,6,,,Brazil
040510 - Butter,,,,5,5,,,Brazil
040520 - Dairy spreads,,,,3,3,2,2,Brazil
040590 - Other,,,,2,2,,,Brazil
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,2,2,,,Brazil
"040620 - Grated or powdered cheese, of all kinds",77,7.70,7.70,2,1,,,Brazil
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,Brazil
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,Brazil
040690 - Other cheese,476,7.70,7.70,33,32,,,Brazil
040711 -- Of fowls of the species Gallus domesticus,"735,026",,,1,1,,,Brazil
040719 -- Other,,7.70,4.20,3,2,1,,Brazil
040721 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Brazil
040729 -- Other,,7.70,4.20,2,1,1,,Brazil
040790 - Others,,7.70,4.20,2,1,1,,Brazil
040811 -- Dried,77,0.00,0.00,2,1,,,Brazil
040819 -- Other,,0.00,0.00,3,2,,,Brazil
040891 -- Dried,,0.00,0.00,2,1,,,Brazil
040899 -- Other,,0.00,0.00,2,1,,,Brazil
040900 Natural honey.,"13,998,452",17.30,17.30,1,,,,Brazil
"041000 Edible products of animal origin, not elsewhere specified or included.","271,350",7.70,2.60,1,,1,,Brazil
,2011,"22,801,322",5.34,4.39,166,157,16,14,Brazil
"040110 - Of a fat content, by weight, not exceeding 1%",153,,,2,2,,,Brazil
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6 %",,,,4,4,,,Brazil
"040130 - Of a fat content, by weight, exceeding 6%",,,,6,6,,,Brazil
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",195,,,4,4,,,Brazil
040221 -- Not containing added sugar or other sweetening matter,,,,5,5,,,Brazil
040229 -- Other,,,,5,5,,,Brazil
040291 -- Not containing added sugar or other sweetening matter,"7,016",,,6,6,,,Brazil
040299 -- Other,,,,5,5,,,Brazil
040310 - Yogurt,,,,12,12,6,6,Brazil
040390 - Other,,,,18,18,6,6,Brazil
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",56,,,24,24,,,Brazil
040490 - Other,,,,6,6,,,Brazil
040510 - Butter,,,,5,5,,,Brazil
040520 - Dairy spreads,,,,3,3,2,2,Brazil
040590 - Other,,,,2,2,,,Brazil
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,2,2,,,Brazil
"040620 - Grated or powdered cheese, of all kinds",,7.70,7.70,2,1,,,Brazil
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,Brazil
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,Brazil
040690 - Other cheese,,7.70,7.70,33,32,,,Brazil
"040700 Birds' eggs, in shell, fresh, preserved or cooked.","2,329,248",7.70,4.20,4,3,1,,Brazil
040811 -- Dried,,0.00,0.00,2,1,,,Brazil
040819 -- Other,,0.00,0.00,3,2,,,Brazil
040891 -- Dried,,0.00,0.00,2,1,,,Brazil
040899 -- Other,473,0.00,0.00,2,1,,,Brazil
040900 Natural honey.,"20,333,849",17.30,17.30,1,,,,Brazil
"041000 Edible products of animal origin, not elsewhere specified or included.","130,333",7.70,2.60,1,,1,,Brazil
,2010,"24,295,839",5.34,5.34,166,157,,,Brazil
"040110 - Of a fat content, by weight, not exceeding 1%",,,,2,2,,,Brazil
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6 %",13,,,4,4,,,Brazil
"040130 - Of a fat content, by weight, exceeding 6%",,,,6,6,,,Brazil
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",146,,,4,4,,,Brazil
040221 -- Not containing added sugar or other sweetening matter,,,,5,5,,,Brazil
040229 -- Other,,,,5,5,,,Brazil
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Brazil
040299 -- Other,,,,5,5,,,Brazil
040310 - Yogurt,278,,,12,12,,,Brazil
040390 - Other,,,,18,18,,,Brazil
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,Brazil
040490 - Other,,,,6,6,,,Brazil
040510 - Butter,,,,5,5,,,Brazil
040520 - Dairy spreads,,,,3,3,,,Brazil
040590 - Other,,,,2,2,,,Brazil
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,2,2,,,Brazil
"040620 - Grated or powdered cheese, of all kinds",,7.70,7.70,2,1,,,Brazil
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,Brazil
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,Brazil
040690 - Other cheese,,7.70,7.70,33,32,,,Brazil
"040700 Birds' eggs, in shell, fresh, preserved or cooked.","409,204",7.70,7.70,4,3,,,Brazil
040811 -- Dried,,0.00,0.00,2,1,,,Brazil
040819 -- Other,,0.00,0.00,3,2,,,Brazil
040891 -- Dried,,0.00,0.00,2,1,,,Brazil
040899 -- Other,,0.00,0.00,2,1,,,Brazil
040900 Natural honey.,"23,810,964",17.30,17.30,1,,,,Brazil
"041000 Edible products of animal origin, not elsewhere specified or included.","75,233",7.70,7.70,1,,,,Brazil
,2009,"19,779,143",5.34,5.34,166,157,,,Brazil
"040110 - Of a fat content, by weight, not exceeding 1%",,,,2,2,,,Brazil
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6 %",,,,4,4,,,Brazil
"040130 - Of a fat content, by weight, exceeding 6%",,,,6,6,,,Brazil
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",28,,,4,4,,,Brazil
040221 -- Not containing added sugar or other sweetening matter,,,,5,5,,,Brazil
040229 -- Other,,,,5,5,,,Brazil
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Brazil
040299 -- Other,,,,5,5,,,Brazil
040310 - Yogurt,488,,,12,12,,,Brazil
040390 - Other,,,,18,18,,,Brazil
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,Brazil
040490 - Other,,,,6,6,,,Brazil
040510 - Butter,,,,5,5,,,Brazil
040520 - Dairy spreads,,,,3,3,,,Brazil
040590 - Other,,,,2,2,,,Brazil
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,2,2,,,Brazil
"040620 - Grated or powdered cheese, of all kinds",223,7.70,7.70,2,1,,,Brazil
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,Brazil
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,Brazil
040690 - Other cheese,753,7.70,7.70,33,32,,,Brazil
"040700 Birds' eggs, in shell, fresh, preserved or cooked.","479,672",7.70,7.70,4,3,,,Brazil
040811 -- Dried,,0.00,0.00,2,1,,,Brazil
040819 -- Other,,0.00,0.00,3,2,,,Brazil
040891 -- Dried,,0.00,0.00,2,1,,,Brazil
040899 -- Other,,0.00,0.00,2,1,,,Brazil
040900 Natural honey.,"19,272,133",17.30,17.30,1,,,,Brazil
"041000 Edible products of animal origin, not elsewhere specified or included.","25,846",7.70,7.70,1,,,,Brazil
,2008,"5,921,749",5.34,5.34,166,157,,,Brazil
"040110 - Of a fat content, by weight, not exceeding 1%",,,,2,2,,,Brazil
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6 %",,,,4,4,,,Brazil
"040130 - Of a fat content, by weight, exceeding 6%",,,,6,6,,,Brazil
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",,,,4,4,,,Brazil
040221 -- Not containing added sugar or other sweetening matter,"72,641",,,5,5,,,Brazil
040229 -- Other,,,,5,5,,,Brazil
040291 -- Not containing added sugar or other sweetening matter,747,,,6,6,,,Brazil
040299 -- Other,,,,5,5,,,Brazil
040310 - Yogurt,,,,12,12,,,Brazil
040390 - Other,,,,18,18,,,Brazil
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,Brazil
040490 - Other,,,,6,6,,,Brazil
040510 - Butter,,,,5,5,,,Brazil
040520 - Dairy spreads,,,,3,3,,,Brazil
040590 - Other,,,,2,2,,,Brazil
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,2,2,,,Brazil
"040620 - Grated or powdered cheese, of all kinds",425,7.70,7.70,2,1,,,Brazil
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,Brazil
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,Brazil
040690 - Other cheese,,7.70,7.70,33,32,,,Brazil
"040700 Birds' eggs, in shell, fresh, preserved or cooked.","1,125,455",7.70,7.70,4,3,,,Brazil
040811 -- Dried,,0.00,0.00,2,1,,,Brazil
040819 -- Other,,0.00,0.00,3,2,,,Brazil
040891 -- Dried,,0.00,0.00,2,1,,,Brazil
040899 -- Other,,0.00,0.00,2,1,,,Brazil
040900 Natural honey.,"4,721,500",17.30,17.30,1,,,,Brazil
"041000 Edible products of animal origin, not elsewhere specified or included.",981,7.70,7.70,1,,,,Brazil
,2007,"4,697,128",5.34,5.34,169,160,,,Brazil
"040110 - Of a fat content, by weight, not exceeding 1%",,,,2,2,,,Brazil
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6 %",,,,4,4,,,Brazil
"040130 - Of a fat content, by weight, exceeding 6%",,,,6,6,,,Brazil
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",,,,4,4,,,Brazil
040221 -- Not containing added sugar or other sweetening matter,932,,,5,5,,,Brazil
040229 -- Other,,,,5,5,,,Brazil
040291 -- Not containing added sugar or other sweetening matter,,,,8,8,,,Brazil
040299 -- Other,,,,6,6,,,Brazil
040310 - Yogurt,27,,,12,12,,,Brazil
040390 - Other,"13,198",,,18,18,,,Brazil
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,Brazil
040490 - Other,,,,6,6,,,Brazil
040510 - Butter,,,,5,5,,,Brazil
040520 - Dairy spreads,,,,3,3,,,Brazil
040590 - Other,,,,2,2,,,Brazil
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,2,2,,,Brazil
"040620 - Grated or powdered cheese, of all kinds",,7.70,7.70,2,1,,,Brazil
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,Brazil
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,Brazil
040690 - Other cheese,,7.70,7.70,33,32,,,Brazil
"040700 Birds' eggs, in shell, fresh, preserved or cooked.","3,702,365",7.70,7.70,4,3,,,Brazil
040811 -- Dried,"23,751",0.00,0.00,2,1,,,Brazil
040819 -- Other,,0.00,0.00,3,2,,,Brazil
040891 -- Dried,,0.00,0.00,2,1,,,Brazil
040899 -- Other,,0.00,0.00,2,1,,,Brazil
040900 Natural honey.,"949,647",17.30,17.30,1,,,,Brazil
"041000 Edible products of animal origin, not elsewhere specified or included.","7,209",7.70,7.70,1,,,,Brazil
,2006,"11,161,355",5.34,5.34,170,161,,,Brazil
"040110 - Of a fat content, by weight, not exceeding 1%",,,,2,2,,,Brazil
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6%",,,,4,4,,,Brazil
"040130 - Of a fat content, by weight, exceeding 6%",741,,,6,6,,,Brazil
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",,,,4,4,,,Brazil
040221 -- Not containing added sugar or other sweetening matter,,,,5,5,,,Brazil
040229 -- Other,,,,5,5,,,Brazil
040291 -- Not containing added sugar or other sweetening matter,,,,8,8,,,Brazil
040299 -- Other,50,,,6,6,,,Brazil
040310 - Yogurt,"2,825",,,12,12,,,Brazil
040390 - Other,"2,235",,,18,18,,,Brazil
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,Brazil
040490 - Other,,,,6,6,,,Brazil
040510 - Butter,,,,5,5,,,Brazil
040520 - Dairy spreads,,,,3,3,,,Brazil
040590 - Other,,,,2,2,,,Brazil
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,2,2,,,Brazil
"040620 - Grated or powdered cheese, of all kinds",,7.70,7.70,2,1,,,Brazil
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,Brazil
040640 - Blue-veined cheese,,,,3,3,,,Brazil
040690 - Other cheese,,7.70,7.70,34,33,,,Brazil
"040700 Birds' eggs, in shell, fresh, preserved or cooked.","660,056",7.70,7.70,4,3,,,Brazil
040811 -- Dried,"178,559",0.00,0.00,2,1,,,Brazil
040819 -- Other,,0.00,0.00,3,2,,,Brazil
040891 -- Dried,"494,405",0.00,0.00,2,1,,,Brazil
040899 -- Other,,0.00,0.00,2,1,,,Brazil
040900 Natural honey.,"9,822,483",17.30,17.30,1,,,,Brazil
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,7.70,1,,,,Brazil
,2005,"20,328,007",5.34,5.34,175,166,,,Brazil
