Importer,Year,Value,Ad val. duties,Number of lines,Brazil
,(US$),Simple average,MFN duties,Pref. duties,Brazil
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Brazil
"950651 -- Lawn-tennis rackets, whether or not strung",102,4.70,4.70,1,,,,Brazil
950659 -- Other,746,2.70,2.70,1,,,,Brazil
950661 -- Lawn-tennis balls,,2.70,2.70,1,,,,Brazil
950662 -- Inflatable,"79,899",2.70,2.70,1,,,,Brazil
950669 -- Other,"38,571",1.35,1.35,2,,,,Brazil
"950670 - Ice skates and roller skates, including skating boots with skates attached","1,189",1.80,1.80,3,,,,Brazil
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","151,802",2.70,2.70,2,,,,Brazil
950699 -- Other,"280,318",1.35,1.35,2,,,,Brazil
950710 - Fishing rods,,3.70,3.70,1,,,,Brazil
"950720 - Fish-hooks, whether or not snelled","4,837",2.70,2.70,2,,,,Brazil
950730 - Fishing reels,,3.70,3.70,1,,,,Brazil
950790 - Other,"20,855",3.70,3.70,1,,,,Brazil
950810 - Travelling circuses and travelling menageries,"4,874",1.70,1.70,1,,,,Brazil
950890 - Other,"114,030",1.70,1.70,1,,,,Brazil
,2013,"1,595,895",2.17,0.14,62,,41,,Brazil
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","203,045",2.09,0.47,18,,8,,Brazil
950420 - Articles and accessories for billiards of all kinds,"67,052",0.00,0.00,1,,,,Brazil
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","89,416",0.00,0.00,3,,,,Brazil
950440 - Playing cards,"328,566",2.70,0.00,1,,1,,Brazil
"950450 -Video game consoles and machines, other than those of subheading 9504.30","3,207",0.00,0.00,1,,,,Brazil
950490 - Other,"313,426",0.00,0.00,2,,,,Brazil
950510 - Articles for Christmas festivities,"12,085",1.35,0.00,2,,1,,Brazil
950590 - Other,"8,977",2.70,0.00,1,,1,,Brazil
950611 -- Skis,"1,222",3.70,0.00,4,,4,,Brazil
950612 -- Ski-fastenings (ski-bindings),,3.70,0.00,1,,1,,Brazil
950619 -- Other,558,2.70,0.00,1,,1,,Brazil
950621 -- Sailboards,,2.70,0.00,1,,1,,Brazil
950629 -- Other,"44,515",2.70,0.00,1,,1,,Brazil
"950631 -- Clubs, complete",770,2.70,0.00,1,,1,,Brazil
950632 -- Balls,"2,483",2.70,0.00,1,,1,,Brazil
950639 -- Other,"1,740",2.70,0.00,2,,2,,Brazil
950640 - Articles and equipment for table-tennis,186,2.70,0.00,1,,1,,Brazil
"950651 -- Lawn-tennis rackets, whether or not strung",890,4.70,0.00,1,,1,,Brazil
950659 -- Other,"42,138",2.70,0.00,1,,1,,Brazil
950661 -- Lawn-tennis balls,80,2.70,0.00,1,,1,,Brazil
950662 -- Inflatable,"66,069",2.70,0.00,1,,1,,Brazil
950669 -- Other,"51,050",1.35,0.00,2,,1,,Brazil
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,0.00,3,,2,,Brazil
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","73,918",2.70,0.00,2,,2,,Brazil
950699 -- Other,"226,162",1.35,0.00,2,,1,,Brazil
950710 - Fishing rods,,3.70,0.00,1,,1,,Brazil
"950720 - Fish-hooks, whether or not snelled",,2.70,0.00,2,,2,,Brazil
950730 - Fishing reels,,3.70,0.00,1,,1,,Brazil
950790 - Other,"11,501",3.70,0.00,1,,1,,Brazil
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,Brazil
950890 - Other,"46,839",1.70,0.00,1,,1,,Brazil
,2012,"1,966,015",2.17,0.14,62,,41,,Brazil
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","226,401",2.09,0.47,18,,8,,Brazil
950420 - Articles and accessories for billiards of all kinds,"48,843",0.00,0.00,1,,,,Brazil
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","92,648",0.00,0.00,3,,,,Brazil
950440 - Playing cards,"463,445",2.70,0.00,1,,1,,Brazil
"950450 -Video game consoles and machines, other than those of subheading 9504.30","1,838",0.00,0.00,1,,,,Brazil
950490 - Other,"325,193",0.00,0.00,2,,,,Brazil
950510 - Articles for Christmas festivities,"33,368",1.35,0.00,2,,1,,Brazil
950590 - Other,"29,422",2.70,0.00,1,,1,,Brazil
950611 -- Skis,116,3.70,0.00,4,,4,,Brazil
950612 -- Ski-fastenings (ski-bindings),77,3.70,0.00,1,,1,,Brazil
950619 -- Other,231,2.70,0.00,1,,1,,Brazil
950621 -- Sailboards,"20,553",2.70,0.00,1,,1,,Brazil
950629 -- Other,"142,596",2.70,0.00,1,,1,,Brazil
"950631 -- Clubs, complete","13,612",2.70,0.00,1,,1,,Brazil
950632 -- Balls,"2,121",2.70,0.00,1,,1,,Brazil
950639 -- Other,,2.70,0.00,2,,2,,Brazil
950640 - Articles and equipment for table-tennis,244,2.70,0.00,1,,1,,Brazil
"950651 -- Lawn-tennis rackets, whether or not strung",771,4.70,0.00,1,,1,,Brazil
950659 -- Other,"55,617",2.70,0.00,1,,1,,Brazil
950661 -- Lawn-tennis balls,308,2.70,0.00,1,,1,,Brazil
950662 -- Inflatable,"166,170",2.70,0.00,1,,1,,Brazil
950669 -- Other,"42,802",1.35,0.00,2,,1,,Brazil
"950670 - Ice skates and roller skates, including skating boots with skates attached","1,697",1.80,0.00,3,,2,,Brazil
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","46,247",2.70,0.00,2,,2,,Brazil
950699 -- Other,"96,607",1.35,0.00,2,,1,,Brazil
950710 - Fishing rods,26,3.70,0.00,1,,1,,Brazil
"950720 - Fish-hooks, whether or not snelled",514,2.70,0.00,2,,2,,Brazil
950730 - Fishing reels,"10,373",3.70,0.00,1,,1,,Brazil
950790 - Other,"18,972",3.70,0.00,1,,1,,Brazil
