Importer,Year,Value,Ad val. duties,Number of lines,Brazil
,(US$),Simple average,MFN duties,Pref. duties,Brazil
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Brazil
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,3.00,1,,,,Brazil
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,Brazil
880310 - Propellers and rotors and parts thereof,,3.00,3.00,1,,,,Brazil
880320 - Under-carriages and parts thereof,,3.00,3.00,1,,,,Brazil
880330 - Other parts of aeroplanes or helicopters,"37,067",3.00,3.00,1,,,,Brazil
880390 - Other,"38,213",10.00,10.00,1,,,,Brazil
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,10.00,10.00,2,,,,Brazil
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,10.00,10.00,3,,,,Brazil
880521 -- Air combat simulators and parts thereof,,5.00,5.00,1,,,,Brazil
880529 -- Other,,5.00,5.00,1,,,,Brazil
,2007,"1,317",7.90,7.90,20,,,,Brazil
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,10.00,10.00,3,,,,Brazil
"880211 -- Of an unladen weight not exceeding 2,000 kg",,10.00,10.00,1,,,,Brazil
"880212 -- Of an unladen weight exceeding 2,000 kg",,10.00,10.00,1,,,,Brazil
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,3.00,1,,,,Brazil
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,3.00,3.00,1,,,,Brazil
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,3.00,1,,,,Brazil
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,Brazil
880310 - Propellers and rotors and parts thereof,,3.00,3.00,1,,,,Brazil
880320 - Under-carriages and parts thereof,,3.00,3.00,1,,,,Brazil
880330 - Other parts of aeroplanes or helicopters,"1,317",3.00,3.00,1,,,,Brazil
880390 - Other,,10.00,10.00,1,,,,Brazil
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,10.00,10.00,2,,,,Brazil
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,10.00,10.00,3,,,,Brazil
880521 -- Air combat simulators and parts thereof,,10.00,10.00,1,,,,Brazil
880529 -- Other,,10.00,10.00,1,,,,Brazil
,2006,"22,791,019",9.65,9.65,20,,,,Brazil
880110 - Gliders and hang gliders,,12.50,12.50,1,,,,Brazil
880190 - Other,,12.50,12.50,2,,,,Brazil
"880211 -- Of an unladen weight not exceeding 2,000 kg",,12.50,12.50,1,,,,Brazil
"880212 -- Of an unladen weight exceeding 2,000 kg",,12.50,12.50,1,,,,Brazil
"880220 - Airplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,3.00,1,,,,Brazil
"880230 - Airplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,3.00,3.00,1,,,,Brazil
"880240 - Airplanes and other aircraft, of an unladen weight exceeding 15,000 kg","22,774,621",3.00,3.00,1,,,,Brazil
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,12.50,12.50,1,,,,Brazil
880310 - Propellers and rotors and parts thereof,,3.00,3.00,1,,,,Brazil
880320 - Under-carriages and parts thereof,,3.00,3.00,1,,,,Brazil
880330 - Other parts of airplanes or helicopters,"16,398",3.00,3.00,1,,,,Brazil
880390 - Other,,12.50,12.50,1,,,,Brazil
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,12.50,12.50,2,,,,Brazil
880510 - Aircraft launching gear and parts thereof; deck- Arrestor or similar gear and parts thereof,,12.50,12.50,3,,,,Brazil
880521 -- Air combat simulators and parts thereof,,12.50,12.50,1,,,,Brazil
880529 -- Other,,12.50,12.50,1,,,,Brazil
,2005,"22,454,395",11.40,11.40,20,,,,Brazil
880110 - Gliders and hang gliders,,15.00,15.00,1,,,,Brazil
880190 - Other,,15.00,15.00,2,,,,Brazil
"880211 -- Of an unladen weight not exceeding 2,000 kg",,15.00,15.00,1,,,,Brazil
"880212 -- Of an unladen weight exceeding 2,000 kg",,15.00,15.00,1,,,,Brazil
"880220 - Airplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,3.00,1,,,,Brazil
"880230 - Airplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","22,448,980",3.00,3.00,1,,,,Brazil
"880240 - Airplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,3.00,1,,,,Brazil
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,15.00,15.00,1,,,,Brazil
880310 - Propellers and rotors and parts thereof,,3.00,3.00,1,,,,Brazil
880320 - Under-carriages and parts thereof,,3.00,3.00,1,,,,Brazil
880330 - Other parts of airplanes or helicopters,"5,416",3.00,3.00,1,,,,Brazil
880390 - Other,,15.00,15.00,1,,,,Brazil
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,15.00,15.00,2,,,,Brazil
880510 - Aircraft launching gear and parts thereof; deck- Arrestor or similar gear and parts thereof,,15.00,15.00,3,,,,Brazil
880521 -- Air combat simulators and parts thereof,,15.00,15.00,1,,,,Brazil
880529 -- Other,,15.00,15.00,1,,,,Brazil
,2004,,14.90,14.90,20,,,,Brazil
