Importer,Year,Value,Ad val. duties,Number of lines,Russian Federation
,(US$),Simple average,MFN duties,Pref. duties,Russian Federation
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","2,796",12.80,12.80,8,7,,,Russian Federation
170310 - Cane molasses,"25,355",0.00,0.00,1,,,,Russian Federation
170390 - Other,"28,240,719",0.00,0.00,1,,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated","512,265",,,2,2,,,Russian Federation
170490 - Other,"9,269,409",13.40,13.40,10,9,,,Russian Federation
,2015,"27,534,470",6.84,6.84,44,39,,,Russian Federation
170112 -- Beet sugar,,,,2,2,,,Russian Federation
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,Russian Federation
170114 -- Other cane sugar,,,,2,2,,,Russian Federation
170191 -- Containing added flavouring or colouring matter,,,,1,1,,,Russian Federation
170199 -- Other,"2,545",,,2,2,,,Russian Federation
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","45,649",,,1,1,,,Russian Federation
170219 -- Other,"1,573",,,1,1,,,Russian Federation
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","16,010",,,3,3,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,Russian Federation
170250 - Chemically pure fructose,,,,1,1,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",60,12.80,12.80,8,7,,,Russian Federation
170310 - Cane molasses,"902,738",0.00,0.00,1,,,,Russian Federation
170390 - Other,"14,960,035",0.00,0.00,1,,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated","617,731",,,2,2,,,Russian Federation
170490 - Other,"10,988,128",13.40,13.40,10,9,,,Russian Federation
,2014,"34,755,562",6.84,6.84,44,39,,,Russian Federation
170112 -- Beet sugar,34,,,2,2,,,Russian Federation
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,Russian Federation
170114 -- Other cane sugar,58,,,2,2,,,Russian Federation
170191 -- Containing added flavouring or colouring matter,,,,1,1,,,Russian Federation
170199 -- Other,"7,671",,,2,2,,,Russian Federation
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",356,,,1,1,,,Russian Federation
170219 -- Other,"6,546",,,1,1,,,Russian Federation
170220 - Maple sugar and maple syrup,109,8.00,8.00,2,1,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","2,668",,,3,3,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",369,,,2,2,,,Russian Federation
170250 - Chemically pure fructose,,,,1,1,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","19,848",12.80,12.80,8,7,,,Russian Federation
170310 - Cane molasses,"943,430",0.00,0.00,1,,,,Russian Federation
170390 - Other,"20,334,783",0.00,0.00,1,,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated","1,357,225",,,2,2,,,Russian Federation
170490 - Other,"12,082,465",13.40,13.40,10,9,,,Russian Federation
,2013,"39,359,853",6.84,5.24,44,39,14,12,Russian Federation
170112 -- Beet sugar,27,,,2,2,,,Russian Federation
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,Russian Federation
170114 -- Other cane sugar,,,,2,2,,,Russian Federation
170191 -- Containing added flavouring or colouring matter,,,,1,1,,,Russian Federation
170199 -- Other,"36,963",,,2,2,,,Russian Federation
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",80,,,1,1,,,Russian Federation
170219 -- Other,"1,235",,,1,1,,,Russian Federation
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","1,527",,,3,3,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",227,,,2,2,,,Russian Federation
170250 - Chemically pure fructose,"2,470",,,1,1,1,1,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","4,255",12.80,8.90,8,7,1,,Russian Federation
170310 - Cane molasses,,0.00,0.00,1,,,,Russian Federation
170390 - Other,"24,692,244",0.00,0.00,1,,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated","1,291,695",,,2,2,2,2,Russian Federation
170490 - Other,"13,329,130",13.40,9.30,10,9,10,9,Russian Federation
,2012,"50,823,353",6.84,5.24,44,39,14,12,Russian Federation
170112 -- Beet sugar,,,,2,2,,,Russian Federation
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,Russian Federation
170114 -- Other cane sugar,,,,2,2,,,Russian Federation
170191 -- Containing added flavouring or colouring matter,"2,545",,,1,1,,,Russian Federation
170199 -- Other,"7,121",,,2,2,,,Russian Federation
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",938,,,1,1,,,Russian Federation
170219 -- Other,"22,712",,,1,1,,,Russian Federation
170220 - Maple sugar and maple syrup,90,8.00,8.00,2,1,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","1,722",,,3,3,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,Russian Federation
170250 - Chemically pure fructose,"3,098",,,1,1,1,1,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",811,12.80,8.90,8,7,1,,Russian Federation
170310 - Cane molasses,,0.00,0.00,1,,,,Russian Federation
170390 - Other,"35,231,620",0.00,0.00,1,,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated","1,374,028",,,2,2,2,2,Russian Federation
170490 - Other,"14,178,668",13.40,9.30,10,9,10,9,Russian Federation
,2011,"33,232,914",11.40,8.73,42,39,14,12,Russian Federation
170111 -- Cane sugar,,,,2,2,,,Russian Federation
170112 -- Beet sugar,,,,2,2,,,Russian Federation
170191 -- Containing added flavouring or colouring matter,,,,1,1,,,Russian Federation
170199 -- Other,863,,,2,2,,,Russian Federation
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Russian Federation
170219 -- Other,988,,,1,1,,,Russian Federation
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,,,3,3,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,,,2,2,,,Russian Federation
170250 - Chemically pure fructose,,,,1,1,1,1,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,,,3,3,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",,12.80,8.90,8,7,1,,Russian Federation
170310 - Cane molasses,"462,937",,,1,1,,,Russian Federation
170390 - Other,"18,243,677",,,1,1,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated","2,062,485",,,2,2,2,2,Russian Federation
170490 - Other,"12,461,964",13.40,9.30,10,9,10,9,Russian Federation
,2010,"15,535,892",11.40,11.40,42,39,,,Russian Federation
170111 -- Cane sugar,,,,2,2,,,Russian Federation
170112 -- Beet sugar,,,,2,2,,,Russian Federation
170191 -- Containing added flavouring or colouring matter,,,,1,1,,,Russian Federation
170199 -- Other,"31,512",,,2,2,,,Russian Federation
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Russian Federation
170219 -- Other,"6,920",,,1,1,,,Russian Federation
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,,,3,3,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,,,2,2,,,Russian Federation
170250 - Chemically pure fructose,80,,,1,1,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar","1,418",,,3,3,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","2,585",12.80,12.80,8,7,,,Russian Federation
170310 - Cane molasses,,,,1,1,,,Russian Federation
170390 - Other,"3,811,851",,,1,1,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated","1,777,591",,,2,2,,,Russian Federation
170490 - Other,"9,903,934",13.40,13.40,10,9,,,Russian Federation
,2009,"32,429,574",11.40,11.40,42,39,,,Russian Federation
170111 -- Cane sugar,,,,2,2,,,Russian Federation
170112 -- Beet sugar,,,,2,2,,,Russian Federation
170191 -- Containing added flavouring or colouring matter,,,,1,1,,,Russian Federation
170199 -- Other,"5,244",,,2,2,,,Russian Federation
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Russian Federation
170219 -- Other,153,,,1,1,,,Russian Federation
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","5,286",,,3,3,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,,,2,2,,,Russian Federation
170250 - Chemically pure fructose,14,,,1,1,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,,,3,3,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","21,829",12.80,12.80,8,7,,,Russian Federation
170310 - Cane molasses,"866,073",,,1,1,,,Russian Federation
170390 - Other,"21,855,972",,,1,1,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated","1,683,914",,,2,2,,,Russian Federation
170490 - Other,"7,991,088",13.40,13.40,10,9,,,Russian Federation
,2008,"24,764,405",11.40,11.40,42,39,,,Russian Federation
170111 -- Cane sugar,,,,2,2,,,Russian Federation
170112 -- Beet sugar,,,,2,2,,,Russian Federation
170191 -- Containing added flavouring or colouring matter,,,,1,1,,,Russian Federation
170199 -- Other,"4,687",,,2,2,,,Russian Federation
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter","2,051",,,1,1,,,Russian Federation
170219 -- Other,,,,1,1,,,Russian Federation
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","5,830",,,3,3,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,,,2,2,,,Russian Federation
170250 - Chemically pure fructose,,,,1,1,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,,,3,3,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","54,960",12.80,12.80,8,7,,,Russian Federation
170310 - Cane molasses,"560,853",,,1,1,,,Russian Federation
170390 - Other,"14,569,231",,,1,1,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated","2,579,690",,,2,2,,,Russian Federation
170490 - Other,"6,987,102",13.40,13.40,10,9,,,Russian Federation
,2007,"23,905,727",11.40,11.40,47,44,,,Russian Federation
170111 -- Cane sugar,,,,2,2,,,Russian Federation
170112 -- Beet sugar,,,,2,2,,,Russian Federation
170191 -- Containing added flavouring or colouring matter,"3,714",,,1,1,,,Russian Federation
170199 -- Other,932,,,2,2,,,Russian Federation
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Russian Federation
170219 -- Other,,,,1,1,,,Russian Federation
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","2,193",,,5,5,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,,,2,2,,,Russian Federation
170250 - Chemically pure fructose,,,,1,1,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,,,3,3,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",932,12.80,12.80,9,8,,,Russian Federation
170310 - Cane molasses,,,,1,1,,,Russian Federation
170390 - Other,"18,689,563",,,1,1,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated","1,284,378",,,4,4,,,Russian Federation
170490 - Other,"3,924,016",13.40,13.40,10,9,,,Russian Federation
,2006,"7,158,690",11.40,11.40,47,44,,,Russian Federation
170111 -- Cane sugar,,,,2,2,,,Russian Federation
170112 -- Beet sugar,126,,,2,2,,,Russian Federation
170191 -- Containing added flavouring or colouring matter,"7,797",,,1,1,,,Russian Federation
170199 -- Other,"3,880",,,2,2,,,Russian Federation
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter","15,657",,,1,1,,,Russian Federation
170219 -- Other,,,,1,1,,,Russian Federation
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","2,335",,,5,5,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar",,,,2,2,,,Russian Federation
170250 - Chemically pure fructose,,,,1,1,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",251,,,3,3,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","31,403",12.80,12.80,9,8,,,Russian Federation
170310 - Cane molasses,,,,1,1,,,Russian Federation
170390 - Other,"3,260,630",,,1,1,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated","1,109,034",,,4,4,,,Russian Federation
170490 - Other,"2,727,577",13.40,13.40,10,9,,,Russian Federation
,2005,"14,436,933",11.40,11.40,47,44,,,Russian Federation
170111 -- Cane sugar,100,,,2,2,,,Russian Federation
170112 -- Beet sugar,,,,2,2,,,Russian Federation
170191 -- Containing added flavouring or colouring matter,100,,,1,1,,,Russian Federation
170199 -- Other,"4,466",,,2,2,,,Russian Federation
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter","22,904",,,1,1,,,Russian Federation
170219 -- Other,,,,1,1,,,Russian Federation
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","1,480",,,5,5,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar",,,,2,2,,,Russian Federation
170250 - Chemically pure fructose,,,,1,1,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,,,3,3,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","130,543",12.80,12.80,9,8,,,Russian Federation
170310 - Cane molasses,,,,1,1,,,Russian Federation
170390 - Other,"470,519",,,1,1,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated","879,977",,,4,4,,,Russian Federation
170490 - Other,"12,926,844",13.40,13.40,10,9,,,Russian Federation
,2004,"4,855,726",11.40,11.40,47,44,,,Russian Federation
170111 -- Cane sugar,,,,2,2,,,Russian Federation
170112 -- Beet sugar,,,,2,2,,,Russian Federation
170191 -- Containing added flavouring or colouring matter,,,,1,1,,,Russian Federation
170199 -- Other,"7,028",,,2,2,,,Russian Federation
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Russian Federation
170219 -- Other,,,,1,1,,,Russian Federation
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","1,281",,,5,5,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar",,,,2,2,,,Russian Federation
170250 - Chemically pure fructose,,,,1,1,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,,,3,3,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","356,017",12.80,12.80,9,8,,,Russian Federation
170310 - Cane molasses,,,,1,1,,,Russian Federation
170390 - Other,"789,765",,,1,1,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated","249,713",,,4,4,,,Russian Federation
170490 - Other,"3,451,923",13.40,13.40,10,9,,,Russian Federation
,2003,"4,930,720",11.40,11.40,47,44,,,Russian Federation
170111 -- Cane sugar,,,,2,2,,,Russian Federation
170112 -- Beet sugar,,,,2,2,,,Russian Federation
170191 -- Containing added flavouring or colouring matter,,,,1,1,,,Russian Federation
170199 -- Other,735,,,2,2,,,Russian Federation
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Russian Federation
170219 -- Other,,,,1,1,,,Russian Federation
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,,,5,5,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar",,,,2,2,,,Russian Federation
170250 - Chemically pure fructose,,,,1,1,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,,,3,3,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",,12.80,12.80,9,8,,,Russian Federation
170310 - Cane molasses,,,,1,1,,,Russian Federation
170390 - Other,"298,659",,,1,1,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated","163,108",,,4,4,,,Russian Federation
170490 - Other,"4,468,217",13.40,13.40,10,9,,,Russian Federation
,2002,"2,732,828",11.40,11.40,47,44,,,Russian Federation
170111 -- Cane sugar,,,,2,2,,,Russian Federation
170112 -- Beet sugar,,,,2,2,,,Russian Federation
170191 -- Containing added flavouring or colouring matter,,,,1,1,,,Russian Federation
170199 -- Other,"5,050",,,2,2,,,Russian Federation
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Russian Federation
170219 -- Other,,,,1,1,,,Russian Federation
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,,,5,5,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar",,,,2,2,,,Russian Federation
170250 - Chemically pure fructose,861,,,1,1,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,,,3,3,,,Russian Federation
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",,12.80,12.80,9,8,,,Russian Federation
170310 - Cane molasses,,,,1,1,,,Russian Federation
170390 - Other,,,,1,1,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated","20,514",,,4,4,,,Russian Federation
170490 - Other,"2,706,403",13.40,13.40,10,9,,,Russian Federation
,2001,"932,721",11.40,11.40,47,44,,,Russian Federation
170111 - - Cane sugar,,,,2,2,,,Russian Federation
170112 - - Beet sugar,,,,2,2,,,Russian Federation
170191 - - Containing added flavouring or colouring matter,,,,1,1,,,Russian Federation
170199 - - Other,797,,,2,2,,,Russian Federation
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Russian Federation
170219 - - Other,,,,1,1,,,Russian Federation
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,,5,5,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose",,,,2,2,,,Russian Federation
170250 - Chemically pure fructose,,,,1,1,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose",,,,3,3,,,Russian Federation
"170290 - Other, including invert sugar",,12.80,12.80,9,8,,,Russian Federation
170310 - Cane molasses,,,,1,1,,,Russian Federation
170390 - Other,,,,1,1,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated","364,843",,,4,4,,,Russian Federation
170490 - Other,"567,082",13.40,13.40,10,9,,,Russian Federation
,2000,"763,668",11.87,11.87,47,44,,,Russian Federation
170111 - - Cane sugar,,,,2,2,,,Russian Federation
170112 - - Beet sugar,9,,,2,2,,,Russian Federation
170191 - - Containing added flavouring or colouring matter,,,,1,1,,,Russian Federation
170199 - - Other,378,,,2,2,,,Russian Federation
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Russian Federation
170219 - - Other,,,,1,1,,,Russian Federation
170220 - Maple sugar and maple syrup,,8.15,8.15,2,1,,,Russian Federation
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,,5,5,,,Russian Federation
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose",,,,2,2,,,Russian Federation
170250 - Chemically pure fructose,,,,1,1,,,Russian Federation
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose",,,,3,3,,,Russian Federation
"170290 - Other, including invert sugar",,13.40,13.40,9,8,,,Russian Federation
170310 - Cane molasses,,,,1,1,,,Russian Federation
170390 - Other,"418,439",,,1,1,,,Russian Federation
"170410 - Chewing gum, whether or not sugar-coated",249,,,4,4,,,Russian Federation
170490 - Other,"344,592",14.05,14.05,10,9,,,Russian Federation
