Importer,Year,Value,Ad val. duties,Number of lines,"Korea, Republic of"
,(US$),Simple average,MFN duties,Pref. duties,"Korea, Republic of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Korea, Republic of"
390610 - Poly(methyl methacrylate),"50,441,655",6.50,0.00,1,,1,,"Korea, Republic of"
390690 - Other,"140,877,905",0.93,0.00,7,,1,,"Korea, Republic of"
390710 - Polyacetals,"64,078,424",6.50,0.00,1,,1,,"Korea, Republic of"
390720 - Other polyethers,"53,671,702",4.88,0.00,4,,3,,"Korea, Republic of"
390730 - Epoxide resins,"111,840,448",6.50,0.00,1,,1,,"Korea, Republic of"
390740 - Polycarbonates,"102,681,102",6.50,0.00,1,,1,,"Korea, Republic of"
390750 - Alkyd resins,"51,252",6.50,0.00,1,,1,,"Korea, Republic of"
390761 - - Having a viscosity number of 78 ml/g or higher,"201,404,747",6.50,0.00,1,,1,,"Korea, Republic of"
390769 - - Other,"32,378,368",6.50,0.00,1,,1,,"Korea, Republic of"
390770 - Poly(lactic acid),"475,348",0.00,0.00,1,,,,"Korea, Republic of"
390791 - - Unsaturated,"5,052,835",6.50,0.00,2,,2,,"Korea, Republic of"
390799 - - Other,"89,519,094",3.80,0.00,3,,2,,"Korea, Republic of"
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12","8,892,093",6.50,0.00,1,,1,,"Korea, Republic of"
390890 - Other,"3,582,316",6.50,0.00,1,,1,,"Korea, Republic of"
390910 - Urea resins; thiourea resins,"135,494",6.50,0.00,1,,1,,"Korea, Republic of"
390920 - Melamine resins,"1,015",6.50,0.00,1,,1,,"Korea, Republic of"
"390931 - - Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)","38,063,913",6.50,0.00,1,,1,,"Korea, Republic of"
390939 - - Other,"8,313,611",6.50,0.00,1,,1,,"Korea, Republic of"
390940 - Phenolic resins,"6,977,708",6.50,0.00,1,,1,,"Korea, Republic of"
390950 - Polyurethanes,"16,163,360",3.25,0.00,2,,1,,"Korea, Republic of"
