Importer,Year,Value,Ad val. duties,Number of lines,India
,(US$),Simple average,MFN duties,Pref. duties,India
,MFN,Best,All items,Non ad val.,All items,Non ad val.,India
,2017,"1,087,783,003",5.49,0.90,210,,179,,India
390110 - Polyethylene having a specific gravity of less than 0.94,"5,139,747",6.50,3.00,2,,2,,India
390120 - Polyethylene having a specific gravity of 0.94 or more,"517,157",3.25,1.50,2,,1,,India
390130 - Ethylene-vinyl acetate copolymers,"167,186",6.50,3.00,1,,1,,India
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94","44,530",6.50,3.00,1,,1,,India
390190 - Other,"468,149",3.25,1.50,2,,1,,India
390210 - Polypropylene,"89,833,503",6.50,3.00,1,,1,,India
390220 - Polyisobutylene,"287,830",6.50,3.00,1,,1,,India
390230 - Propylene copolymers,"3,026,817",6.50,3.00,1,,1,,India
390290 - Other,"619,175",2.17,1.00,3,,1,,India
390311 - - Expansible,"93,934",6.50,3.00,1,,1,,India
390319 - - Other,"21,909,101",6.50,0.00,1,,1,,India
390320 - Styrene-acrylonitrile (SAN) copolymers,28,6.50,3.00,1,,1,,India
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,"868,252",6.50,3.00,1,,1,,India
390390 - Other,"1,498,136",2.17,1.00,3,,1,,India
"390410 - Poly(vinyl chloride), not mixed with any other substances","22,550",6.50,3.00,1,,1,,India
390421 - - Non-plasticised,"9,339",6.50,3.00,1,,1,,India
390422 - - Plasticised,"21,978",6.50,3.00,1,,1,,India
390430 - Vinyl chloride-vinyl acetate copolymers,"51,776",6.50,3.00,1,,1,,India
390440 - Other vinyl chloride copolymers,579,6.50,3.00,1,,1,,India
390450 - Vinylidene chloride polymers,"9,410",3.25,1.50,2,,1,,India
390461 - - Polytetrafluoroethylene,"37,148,118",6.50,3.00,1,,1,,India
390469 - - Other,"1,061,948",4.33,2.00,3,,2,,India
390490 - Other,"47,358",6.50,3.00,1,,1,,India
390512 - - In aqueous dispersion,"137,061",6.50,0.00,1,,1,,India
390519 - - Other,"3,244,195",6.50,0.00,1,,1,,India
390521 - - In aqueous dispersion,"28,822",6.50,0.00,1,,1,,India
390529 - - Other,"5,277",6.50,0.00,1,,1,,India
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups","108,168",6.50,0.00,1,,1,,India
390591 - - Copolymers,566,6.50,0.00,1,,1,,India
390599 - - Other,"2,421,137",3.25,0.00,2,,1,,India
390610 - Poly(methyl methacrylate),"1,839,352",6.50,2.90,1,,1,,India
