Importer,Year,Value,Ad val. duties,Number of lines,Albania
,(US$),Simple average,MFN duties,Pref. duties,Albania
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Albania
870192 - - Exceeding 18 kW but not exceeding 37 kW,1,3.50,0.00,2,,1,,Albania
870193 - - Exceeding 37 kW but not exceeding 75 kW,1,3.50,0.00,2,,1,,Albania
870194 - - Exceeding 75 kW but not exceeding 130 kW,"45,901",3.50,0.00,2,,1,,Albania
870195 - - Exceeding 130 kW,,3.50,0.00,2,,1,,Albania
870210 - With only compression-ignition internal combustion piston engine (diesel or semi-diesel),"39,644",13.00,0.00,4,,4,,Albania
870220 - With both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion,,13.00,0.00,2,,2,,Albania
870230 - With both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion,,13.00,0.00,2,,2,,Albania
870240 - With only electric motor for propulsion,2,10.00,0.00,1,,1,,Albania
870290 - Other,,12.40,0.00,5,,5,,Albania
870310 - Vehicles specially designed for travelling on snow; golf cars and similar vehicles,,7.50,0.00,2,,2,,Albania
"870321 - - Of a cylinder capacity not exceeding 1,000 cc","65,575",10.00,0.00,2,,2,,Albania
"870322 - - Of a cylinder capacity exceeding 1,000 cc but not exceeding 1,500 cc","57,806",10.00,0.00,2,,2,,Albania
"870323 - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc","604,597",10.00,0.00,3,,3,,Albania
"870324 - - Of a cylinder capacity exceeding 3,000 cc","106,474",10.00,0.00,2,,2,,Albania
"870331 - - Of a cylinder capacity not exceeding 1,500 cc","15,776",10.00,0.00,2,,2,,Albania
"870332 - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc","12,495,883",10.00,0.00,3,,3,,Albania
"870333 - - Of a cylinder capacity exceeding 2,500 cc","539,869",10.00,0.00,3,,3,,Albania
"870340 - Other vehicles, with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, other than those capable of being charged by plugging to external source of electric power","2,381",10.00,0.00,2,,2,,Albania
