Importer,Year,Value,Ad val. duties,Number of lines,Viet Nam
,(US$),Simple average,MFN duties,Pref. duties,Viet Nam
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Viet Nam
"080540 - Grapefruit, including pomelos",,10.00,10.00,1,,,,Viet Nam
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,10.00,10.00,1,,,,Viet Nam
080590 - Other,,10.00,10.00,1,,,,Viet Nam
080610 - Fresh,,10.00,10.00,1,,,,Viet Nam
080620 - Dried,,10.00,10.00,1,,,,Viet Nam
080711 - - Watermelons,,10.00,10.00,1,,,,Viet Nam
080719 - - Other,,10.00,10.00,1,,,,Viet Nam
080720 - Papaws (papayas),,10.00,10.00,1,,,,Viet Nam
080810 - Apples,,10.00,10.00,1,,,,Viet Nam
080830 - Pears,,10.00,10.00,1,,,,Viet Nam
080840 - Quinces,,10.00,10.00,1,,,,Viet Nam
080910 - Apricots,,10.00,10.00,1,,,,Viet Nam
080921 - - Sour cherries (Prunus cerasus),,10.00,10.00,1,,,,Viet Nam
080929 - - Other,,10.00,10.00,1,,,,Viet Nam
"080930 - Peaches, including nectarines",,10.00,10.00,2,,,,Viet Nam
080940 - Plums and sloes,,10.00,10.00,1,,,,Viet Nam
081010 - Strawberries,,10.00,10.00,1,,,,Viet Nam
"081020 - Raspberries, blackberries, mulberries and loganberries",,10.00,10.00,1,,,,Viet Nam
"081030 - Black, white or red currants and gooseberries",,10.00,10.00,1,,,,Viet Nam
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,10.00,10.00,1,,,,Viet Nam
081050 - Kiwifruit,,10.00,10.00,1,,,,Viet Nam
081060 - Durians,,10.00,10.00,1,,,,Viet Nam
081070 - Persimmons,,10.00,10.00,1,,,,Viet Nam
081090 - Other,,10.00,10.00,1,,,,Viet Nam
081110 - Strawberries,,10.00,10.00,1,,,,Viet Nam
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,10.00,10.00,1,,,,Viet Nam
081190 - Other,,10.00,10.00,1,,,,Viet Nam
081210 - Cherries,,10.00,10.00,1,,,,Viet Nam
081290 - Other,,10.00,10.00,1,,,,Viet Nam
081310 - Apricots,,10.00,10.00,1,,,,Viet Nam
081320 - Prunes,,10.00,10.00,2,,,,Viet Nam
081330 - Apples,,10.00,10.00,1,,,,Viet Nam
081340 - Other fruit,,10.00,10.00,2,,,,Viet Nam
