Importer,Year,Value,Ad val. duties,Number of lines,"Korea, Republic of"
,(US$),Simple average,MFN duties,Pref. duties,"Korea, Republic of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Korea, Republic of"
"880220 - Airplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,0.00,0.00,4,,,,"Korea, Republic of"
"880230 - Airplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,0.00,0.00,6,,,,"Korea, Republic of"
"880240 - Airplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,0.00,0.00,2,,,,"Korea, Republic of"
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,0.00,0.00,1,,,,"Korea, Republic of"
880310 - Propellers and rotors and parts thereof,,0.00,0.00,1,,,,"Korea, Republic of"
880320 - Under-carriages and parts thereof,,0.00,0.00,1,,,,"Korea, Republic of"
880330 - Other parts of airplanes or helicopters,"10,000",0.00,0.00,1,,,,"Korea, Republic of"
880390 - Other,,0.00,0.00,1,,,,"Korea, Republic of"
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"24,000",14.00,14.00,1,,,,"Korea, Republic of"
880510 - Aircraft launching gear and parts thereof; deck- Arrestor or similar gear and parts thereof,,0.00,0.00,1,,,,"Korea, Republic of"
880521 -- Air combat simulators and parts thereof,,0.00,0.00,1,,,,"Korea, Republic of"
880529 -- Other,,0.00,0.00,1,,,,"Korea, Republic of"
,2005,,2.08,2.08,26,,,,"Korea, Republic of"
880110 - Gliders and hang gliders,,20.00,20.00,1,,,,"Korea, Republic of"
880190 - Other,,20.00,20.00,1,,,,"Korea, Republic of"
"880211 -- Of an unladen weight not exceeding 2,000 kg",,0.00,0.00,1,,,,"Korea, Republic of"
"880212 -- Of an unladen weight exceeding 2,000 kg",,0.00,0.00,2,,,,"Korea, Republic of"
"880220 - Airplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,0.00,0.00,4,,,,"Korea, Republic of"
"880230 - Airplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,0.00,0.00,6,,,,"Korea, Republic of"
"880240 - Airplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,0.00,0.00,2,,,,"Korea, Republic of"
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,0.00,0.00,1,,,,"Korea, Republic of"
880310 - Propellers and rotors and parts thereof,,0.00,0.00,1,,,,"Korea, Republic of"
880320 - Under-carriages and parts thereof,,0.00,0.00,1,,,,"Korea, Republic of"
880330 - Other parts of airplanes or helicopters,,0.00,0.00,1,,,,"Korea, Republic of"
880390 - Other,,0.00,0.00,1,,,,"Korea, Republic of"
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,14.00,14.00,1,,,,"Korea, Republic of"
880510 - Aircraft launching gear and parts thereof; deck- Arrestor or similar gear and parts thereof,,0.00,0.00,1,,,,"Korea, Republic of"
880521 -- Air combat simulators and parts thereof,,0.00,0.00,1,,,,"Korea, Republic of"
880529 -- Other,,0.00,0.00,1,,,,"Korea, Republic of"
,2004,,2.08,2.08,26,,,,"Korea, Republic of"
880110 - Gliders and hang gliders,,20.00,20.00,1,,,,"Korea, Republic of"
880190 - Other,,20.00,20.00,1,,,,"Korea, Republic of"
"880211 -- Of an unladen weight not exceeding 2,000 kg",,0.00,0.00,1,,,,"Korea, Republic of"
"880212 -- Of an unladen weight exceeding 2,000 kg",,0.00,0.00,2,,,,"Korea, Republic of"
"880220 - Airplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,0.00,0.00,4,,,,"Korea, Republic of"
"880230 - Airplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,0.00,0.00,6,,,,"Korea, Republic of"
"880240 - Airplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,0.00,0.00,2,,,,"Korea, Republic of"
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,0.00,0.00,1,,,,"Korea, Republic of"
880310 - Propellers and rotors and parts thereof,,0.00,0.00,1,,,,"Korea, Republic of"
880320 - Under-carriages and parts thereof,,0.00,0.00,1,,,,"Korea, Republic of"
880330 - Other parts of airplanes or helicopters,,0.00,0.00,1,,,,"Korea, Republic of"
880390 - Other,,0.00,0.00,1,,,,"Korea, Republic of"
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,14.00,14.00,1,,,,"Korea, Republic of"
880510 - Aircraft launching gear and parts thereof; deck- Arrestor or similar gear and parts thereof,,0.00,0.00,1,,,,"Korea, Republic of"
880521 -- Air combat simulators and parts thereof,,0.00,0.00,1,,,,"Korea, Republic of"
880529 -- Other,,0.00,0.00,1,,,,"Korea, Republic of"
,2003,,2.25,2.25,26,,,,"Korea, Republic of"
880110 - Gliders and hang gliders,,21.50,21.50,1,,,,"Korea, Republic of"
880190 - Other,,21.50,21.50,1,,,,"Korea, Republic of"
"880211 -- Of an unladen weight not exceeding 2,000 kg",,0.00,0.00,1,,,,"Korea, Republic of"
"880212 -- Of an unladen weight exceeding 2,000 kg",,0.00,0.00,2,,,,"Korea, Republic of"
"880220 - Airplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,0.00,0.00,4,,,,"Korea, Republic of"
"880230 - Airplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,0.00,0.00,6,,,,"Korea, Republic of"
"880240 - Airplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,0.00,0.00,2,,,,"Korea, Republic of"
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,0.00,0.00,1,,,,"Korea, Republic of"
880310 - Propellers and rotors and parts thereof,,0.00,0.00,1,,,,"Korea, Republic of"
880320 - Under-carriages and parts thereof,,0.00,0.00,1,,,,"Korea, Republic of"
880330 - Other parts of airplanes or helicopters,,0.00,0.00,1,,,,"Korea, Republic of"
880390 - Other,,0.00,0.00,1,,,,"Korea, Republic of"
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,15.50,15.50,1,,,,"Korea, Republic of"
880510 - Aircraft launching gear and parts thereof; deck- Arrestor or similar gear and parts thereof,,0.00,0.00,1,,,,"Korea, Republic of"
880521 -- Air combat simulators and parts thereof,,0.00,0.00,1,,,,"Korea, Republic of"
880529 -- Other,,0.00,0.00,1,,,,"Korea, Republic of"
,2002,,2.25,2.25,26,,,,"Korea, Republic of"
880110 - Gliders and hang gliders,,21.50,21.50,1,,,,"Korea, Republic of"
880190 - Other,,21.50,21.50,1,,,,"Korea, Republic of"
"880211 -- Of an unladen weight not exceeding 2,000 kg",,0.00,0.00,1,,,,"Korea, Republic of"
