Importer,Year,Value,Ad val. duties,Number of lines,"Saudi Arabia, Kingdom of"
,(US$),Simple average,MFN duties,Pref. duties,"Saudi Arabia, Kingdom of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Saudi Arabia, Kingdom of"
"611522 - - Of synthetic fibres, measuring per single yarn 67 decitex or more",,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
611529 - - Of other textile materials,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
"611530 - Other women's full-length or knee-length hosiery, measuring per single yarn less than 67 decitex",,12.00,12.00,3,,,,"Saudi Arabia, Kingdom of"
611594 - - Of wool or fine animal hair,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
611595 - - Of cotton,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
611596 - - Of synthetic fibres,,12.00,12.00,3,,,,"Saudi Arabia, Kingdom of"
611599 - - Of other textile materials,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
"611610 - Impregnated, coated or covered with plastics or rubber",,8.45,8.45,2,,,,"Saudi Arabia, Kingdom of"
611691 - - Of wool or fine animal hair,,8.90,8.90,1,,,,"Saudi Arabia, Kingdom of"
611692 - - Of cotton,,8.90,8.90,1,,,,"Saudi Arabia, Kingdom of"
611693 - - Of synthetic fibres,,8.90,8.90,1,,,,"Saudi Arabia, Kingdom of"
611699 - - Of other textile materials,,8.90,8.90,1,,,,"Saudi Arabia, Kingdom of"
"611710 - Shawls, scarves, mufflers, mantillas, veils and the like",,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
611780 - Other accessories,,10.00,10.00,2,,,,"Saudi Arabia, Kingdom of"
611790 - Parts,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
,2017,"1,565,511",11.60,11.60,147,,,,"Saudi Arabia, Kingdom of"
610120 - Of cotton,"9,341",12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
610130 - Of man-made fibres,"2,899",12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
610190 - Of other textile materials,"33,193",12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
610210 - Of wool or fine animal hair,"20,656",12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
610220 - Of cotton,542,12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
610230 - Of man-made fibres,390,12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
610290 - Of other textile materials,"26,067",12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
610310 - Suits,"17,576",12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
610322 - - Of cotton,"76,002",12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610323 - - Of synthetic fibres,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610329 - - Of other textile materials,561,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610331 - - Of wool or fine animal hair,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610332 - - Of cotton,"3,589",12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610333 - - Of synthetic fibres,9,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610339 - - Of other textile materials,"8,133",12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610341 - - Of wool or fine animal hair,1,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610342 - - Of cotton,"2,569",12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610343 - - Of synthetic fibres,"2,230",12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610349 - - Of other textile materials,"4,168",12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610413 - - Of synthetic fibres,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610419 - - Of other textile materials,156,12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
610422 - - Of cotton,"3,573",12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610423 - - Of synthetic fibres,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610429 - - Of other textile materials,831,12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
610431 - - Of wool or fine animal hair,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610432 - - Of cotton,30,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610433 - - Of synthetic fibres,295,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610439 - - Of other textile materials,"1,922",12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610441 - - Of wool or fine animal hair,"1,415",12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610442 - - Of cotton,"40,007",12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610443 - - Of synthetic fibres,"9,541",12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610444 - - Of artificial fibres,"10,500",12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610449 - - Of other textile materials,"12,123",12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610451 - - Of wool or fine animal hair,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610452 - - Of cotton,152,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610453 - - Of synthetic fibres,"1,340",12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610459 - - Of other textile materials,"2,084",12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610461 - - Of wool or fine animal hair,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610462 - - Of cotton,"11,272",12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610463 - - Of synthetic fibres,"6,672",12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610469 - - Of other textile materials,316,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610510 - Of cotton,"30,452",12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610520 - Of man-made fibres,"1,771",12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
610590 - Of other textile materials,503,12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
610610 - Of cotton,"45,830",12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610620 - Of man-made fibres,"2,631",12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610690 - Of other textile materials,"17,934",12.00,12.00,4,,,,"Saudi Arabia, Kingdom of"
610711 - - Of cotton,32,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610712 - - Of man-made fibres,8,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610719 - - Of other textile materials,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610721 - - Of cotton,5,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610722 - - Of man-made fibres,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610729 - - Of other textile materials,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610791 - - Of cotton,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610799 - - Of other textile materials,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610811 - - Of man-made fibres,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610819 - - Of other textile materials,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610821 - - Of cotton,9,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610822 - - Of man-made fibres,20,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610829 - - Of other textile materials,57,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610831 - - Of cotton,1,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
