Importer,Year,Value,Ad val. duties,Number of lines,European Union
,(US$),Simple average,MFN duties,Pref. duties,European Union
,MFN,Best,All items,Non ad val.,All items,Non ad val.,European Union
"950720 - Fish-hooks, whether or not snelled","31,621",10.00,10.00,1,,,,European Union
950730 - Fishing reels,,10.00,10.00,1,,,,European Union
950790 - Other,"119,481",10.00,10.00,2,,,,European Union
950810 - Travelling circuses and travelling menageries,,10.00,10.00,1,,,,European Union
950890 - Other,"10,900,216",10.00,10.00,1,,,,European Union
,2014,"21,447,496",9.09,9.09,55,,,,European Union
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","6,671,151",10.00,10.00,4,,,,European Union
950420 - Articles and accessories for billiards of all kinds,"85,947",10.00,10.00,1,,,,European Union
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","320,175",10.00,10.00,1,,,,European Union
950440 - Playing cards,"31,632",10.00,10.00,1,,,,European Union
"950450 -Video game consoles and machines, other than those of subheading 9504.30","84,348",10.00,10.00,1,,,,European Union
950490 - Other,"805,581",10.00,10.00,3,,,,European Union
950510 - Articles for Christmas festivities,"43,824",10.00,10.00,1,,,,European Union
950590 - Other,"79,771",10.00,10.00,2,,,,European Union
950611 -- Skis,"5,530",0.00,0.00,1,,,,European Union
950612 -- Ski-fastenings (ski-bindings),"3,694",0.00,0.00,1,,,,European Union
950619 -- Other,"71,915",0.00,0.00,1,,,,European Union
950621 -- Sailboards,"11,007",0.00,0.00,1,,,,European Union
950629 -- Other,"146,765",0.00,0.00,1,,,,European Union
"950631 -- Clubs, complete",101,10.00,10.00,1,,,,European Union
950632 -- Balls,"1,214",10.00,10.00,1,,,,European Union
950639 -- Other,"9,795",10.00,10.00,1,,,,European Union
950640 - Articles and equipment for table-tennis,"147,426",10.00,10.00,1,,,,European Union
"950651 -- Lawn-tennis rackets, whether or not strung","19,906",10.00,10.00,1,,,,European Union
950659 -- Other,"250,412",10.00,10.00,2,,,,European Union
950661 -- Lawn-tennis balls,"19,487",10.00,10.00,1,,,,European Union
950662 -- Inflatable,"460,099",10.00,10.00,4,,,,European Union
950669 -- Other,"360,744",10.00,10.00,5,,,,European Union
"950670 - Ice skates and roller skates, including skating boots with skates attached","46,101",10.00,10.00,1,,,,European Union
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","3,354,095",10.00,10.00,2,,,,European Union
950699 -- Other,"6,732,768",10.00,10.00,9,,,,European Union
950710 - Fishing rods,"3,887",10.00,10.00,1,,,,European Union
"950720 - Fish-hooks, whether or not snelled","29,651",10.00,10.00,1,,,,European Union
950730 - Fishing reels,531,10.00,10.00,1,,,,European Union
950790 - Other,"104,301",10.00,10.00,2,,,,European Union
950810 - Travelling circuses and travelling menageries,,10.00,10.00,1,,,,European Union
950890 - Other,"1,545,638",10.00,10.00,1,,,,European Union
,2013,"31,587,516",9.09,9.09,55,,,,European Union
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","6,469,972",10.00,10.00,4,,,,European Union
950420 - Articles and accessories for billiards of all kinds,"117,640",10.00,10.00,1,,,,European Union
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","441,241",10.00,10.00,1,,,,European Union
950440 - Playing cards,"11,171",10.00,10.00,1,,,,European Union
"950450 -Video game consoles and machines, other than those of subheading 9504.30","107,605",10.00,10.00,1,,,,European Union
950490 - Other,"1,164,437",10.00,10.00,3,,,,European Union
950510 - Articles for Christmas festivities,"70,359",10.00,10.00,1,,,,European Union
950590 - Other,"155,751",10.00,10.00,2,,,,European Union
950611 -- Skis,"98,879",0.00,0.00,1,,,,European Union
950612 -- Ski-fastenings (ski-bindings),230,0.00,0.00,1,,,,European Union
950619 -- Other,"30,483",0.00,0.00,1,,,,European Union
950621 -- Sailboards,"26,468",0.00,0.00,1,,,,European Union
950629 -- Other,"239,947",0.00,0.00,1,,,,European Union
"950631 -- Clubs, complete","1,180",10.00,10.00,1,,,,European Union
950632 -- Balls,"21,553",10.00,10.00,1,,,,European Union
950639 -- Other,"129,899",10.00,10.00,1,,,,European Union
950640 - Articles and equipment for table-tennis,"216,803",10.00,10.00,1,,,,European Union
"950651 -- Lawn-tennis rackets, whether or not strung","18,351",10.00,10.00,1,,,,European Union
950659 -- Other,"112,064",10.00,10.00,2,,,,European Union
950661 -- Lawn-tennis balls,235,10.00,10.00,1,,,,European Union
950662 -- Inflatable,"184,742",10.00,10.00,4,,,,European Union
950669 -- Other,"168,027",10.00,10.00,5,,,,European Union
"950670 - Ice skates and roller skates, including skating boots with skates attached","20,626",10.00,10.00,1,,,,European Union
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","3,959,203",10.00,10.00,2,,,,European Union
950699 -- Other,"5,031,213",10.00,10.00,9,,,,European Union
950710 - Fishing rods,,10.00,10.00,1,,,,European Union
"950720 - Fish-hooks, whether or not snelled","52,777",10.00,10.00,1,,,,European Union
950730 - Fishing reels,,10.00,10.00,1,,,,European Union
950790 - Other,"61,869",10.00,10.00,2,,,,European Union
950810 - Travelling circuses and travelling menageries,,10.00,10.00,1,,,,European Union
950890 - Other,"12,674,791",10.00,10.00,1,,,,European Union
,2012,"46,279,825",9.09,9.09,55,,,,European Union
