Importer,Year,Value,Ad val. duties,Number of lines,China
,(US$),Simple average,MFN duties,Pref. duties,China
,MFN,Best,All items,Non ad val.,All items,Non ad val.,China
611220 - Ski suits,"368,593",10.00,10.00,6,,,,China
611231 -- Of synthetic fibres,"317,703",10.00,10.00,1,,,,China
611239 -- Of other textile materials,"181,623",10.00,10.00,3,,,,China
611241 -- Of synthetic fibres,"628,872",10.00,10.00,1,,,,China
611249 -- Of other textile materials,"596,492",10.00,10.00,3,,,,China
"611300 Garments, made up of knitted or crocheted fabrics of heading 59.03, 59.06 or 59.07.","11,252",10.00,10.00,1,,,,China
611420 - Of cotton,"193,080",10.00,10.00,1,,,,China
611430 - Of man-made fibres,"3,366,251",10.00,10.00,2,,,,China
611490 - Of other textile materials,"122,985",10.00,10.00,2,,,,China
"611510 - Graduated compression hosiery (for example, stockings for varicose veins)","425,086",10.00,10.00,1,,,,China
"611521 -- Of synthetic fibres, measuring per single yarn less than 67 decitex","338,790",10.00,10.00,1,,,,China
"611522 -- Of synthetic fibres, measuring per single yarn 67 decitex or more","8,730",10.00,10.00,1,,,,China
611529 -- Of other textile materials,"5,008,516",10.00,10.00,4,,,,China
"611530 - Other women's full-length or knee-length hosiery, measuring per single yarn less than 67 decitex","967,546",10.00,10.00,1,,,,China
611594 -- Of wool or fine animal hair,"2,594",10.00,10.00,1,,,,China
611595 -- Of cotton,"471,776",10.00,10.00,1,,,,China
611596 -- Of synthetic fibres,"674,884",10.00,10.00,1,,,,China
611599 -- Of other textile materials,"12,190,647",10.00,10.00,2,,,,China
"611610 - Impregnated, coated or covered with plastics or rubber","3,972,152",10.00,10.00,1,,,,China
611691 -- Of wool or fine animal hair,"19,848",10.00,10.00,1,,,,China
611692 -- Of cotton,"563,960",10.00,10.00,1,,,,China
611693 -- Of synthetic fibres,"667,454",10.00,10.00,1,,,,China
611699 -- Of other textile materials,"3,175,081",10.00,10.00,2,,,,China
"611710 - Shawls, scarves, mufflers, mantillas, veils and the like","1,170,927",10.00,10.00,5,,,,China
611780 - Other accessories,"2,007,748",10.00,10.00,5,,,,China
611790 - Parts,"2,136,028",10.00,10.00,1,,,,China
,2015,"114,483,906",10.00,10.00,191,60,,,China
610120 - Of cotton,"481,655",,,1,1,,,China
610130 - Of man-made fibres,"656,752",,,2,2,,,China
610190 - Of other textile materials,"85,080",10.00,10.00,2,,,,China
610210 - Of wool or fine animal hair,"13,995",,,1,1,,,China
610220 - Of cotton,"151,898",,,1,1,,,China
610230 - Of man-made fibres,"381,458",,,2,2,,,China
610290 - Of other textile materials,"5,259",10.00,10.00,2,,,,China
610310 - Suits,"16,906",10.00,10.00,4,,,,China
610322 -- Of cotton,"123,517",10.00,10.00,1,,,,China
610323 -- Of synthetic fibres,"7,315",10.00,10.00,1,,,,China
610329 -- Of other textile materials,"63,600",10.00,10.00,3,,,,China
610331 -- Of wool or fine animal hair,"17,036",10.00,10.00,1,,,,China
610332 -- Of cotton,"226,283",10.00,10.00,1,,,,China
610333 -- Of synthetic fibres,"2,486,072",10.00,10.00,1,,,,China
610339 -- Of other textile materials,"566,472",10.00,10.00,3,,,,China
610341 -- Of wool or fine animal hair,"3,351",10.00,10.00,1,,,,China
610342 -- Of cotton,"1,089,223",10.00,10.00,1,,,,China
610343 -- Of synthetic fibres,"1,120,306",10.00,10.00,1,,,,China
610349 -- Of other textile materials,"943,273",10.00,10.00,3,,,,China
610413 -- Of synthetic fibres,"12,407",10.00,10.00,1,,,,China
610419 -- Of other textile materials,"12,241",,,3,3,,,China
610422 -- Of cotton,"53,865",10.00,10.00,1,,,,China
610423 -- Of synthetic fibres,"7,736",10.00,10.00,1,,,,China
610429 -- Of other textile materials,"9,655",10.00,10.00,3,,,,China
610431 -- Of wool or fine animal hair,"11,711",10.00,10.00,1,,,,China
610432 -- Of cotton,"157,385",10.00,10.00,1,,,,China
610433 -- Of synthetic fibres,"1,053,523",10.00,10.00,1,,,,China
610439 -- Of other textile materials,"728,095",10.00,10.00,3,,,,China
610441 -- Of wool or fine animal hair,"11,191",,,1,1,,,China
610442 -- Of cotton,"782,355",10.00,10.00,1,,,,China
610443 -- Of synthetic fibres,"2,285,138",,,1,1,,,China
610444 -- Of artificial fibres,"1,138,979",,,1,1,,,China
610449 -- Of other textile materials,"224,381",,,2,2,,,China
610451 -- Of wool or fine animal hair,,,,1,1,,,China
610452 -- Of cotton,"163,477",,,1,1,,,China
610453 -- Of synthetic fibres,"515,428",,,1,1,,,China
610459 -- Of other textile materials,"150,882",,,3,3,,,China
610461 -- Of wool or fine animal hair,"2,617",10.00,10.00,1,,,,China
610462 -- Of cotton,"1,197,406",,,1,1,,,China
610463 -- Of synthetic fibres,"1,764,770",,,1,1,,,China
610469 -- Of other textile materials,"2,550,969",10.00,10.00,3,,,,China
610510 - Of cotton,"3,272,101",,,3,3,,,China
610520 - Of man-made fibres,"603,437",,,2,2,,,China
610590 - Of other textile materials,"239,867",,,2,2,,,China
610610 - Of cotton,"1,523,021",,,1,1,,,China
610620 - Of man-made fibres,"3,597,676",,,2,2,,,China
610690 - Of other textile materials,"870,068",,,3,3,,,China
610711 -- Of cotton,"741,267",,,1,1,,,China
610712 -- Of man-made fibres,"333,194",,,2,2,,,China
610719 -- Of other textile materials,"21,250",10.00,10.00,2,,,,China
610721 -- Of cotton,"44,301",10.00,10.00,1,,,,China
610722 -- Of man-made fibres,"44,070",10.00,10.00,2,,,,China
610729 -- Of other textile materials,"22,947",10.00,10.00,3,,,,China
610791 -- Of cotton,"37,806",10.00,10.00,2,,,,China
610799 -- Of other textile materials,"7,732",10.00,10.00,3,,,,China
610811 -- Of man-made fibres,"303,186",10.00,10.00,2,,,,China
610819 -- Of other textile materials,"1,017,721",10.00,10.00,3,,,,China
610821 -- Of cotton,"155,752",,,1,1,,,China
610822 -- Of man-made fibres,"3,081,285",,,2,2,,,China
610829 -- Of other textile materials,"53,164",10.00,10.00,2,,,,China
610831 -- Of cotton,"102,067",10.00,10.00,1,,,,China
610832 -- Of man-made fibres,"1,132,506",10.00,10.00,2,,,,China
610839 -- Of other textile materials,"365,858",10.00,10.00,2,,,,China
610891 -- Of cotton,"6,670",,,1,1,,,China
610892 -- Of man-made fibres,"89,450",,,2,2,,,China
