Importer,Year,Value,Ad val. duties,Number of lines,Costa Rica
,(US$),Simple average,MFN duties,Pref. duties,Costa Rica
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Costa Rica
880330 - Other parts of airplanes or helicopters,475,1.35,1.35,2,,,,Costa Rica
880390 - Other,,1.56,1.56,5,,,,Costa Rica
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,2.70,1,,,,Costa Rica
880510 - Aircraft launching gear and parts thereof; deck- Arrestor or similar gear and parts thereof,,2.20,2.20,2,,,,Costa Rica
880521 -- Air combat simulators and parts thereof,,1.70,1.70,1,,,,Costa Rica
880529 -- Other,,0.85,0.85,2,,,,Costa Rica
,2002,"5,202",2.01,2.01,34,,,,Costa Rica
880110 - Gliders and hang gliders,,1.85,1.85,2,,,,Costa Rica
880190 - Other,,2.13,2.13,3,,,,Costa Rica
"880211 -- Of an unladen weight not exceeding 2,000 kg",,3.75,3.75,2,,,,Costa Rica
"880212 -- Of an unladen weight exceeding 2,000 kg",,1.35,1.35,2,,,,Costa Rica
"880220 - Airplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.85,3.85,2,,,,Costa Rica
"880230 - Airplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,1.35,1.35,2,,,,Costa Rica
"880240 - Airplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,1.35,1.35,2,,,,Costa Rica
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,4.20,2,,,,Costa Rica
880310 - Propellers and rotors and parts thereof,,1.35,1.35,2,,,,Costa Rica
880320 - Under-carriages and parts thereof,"3,253",1.35,1.35,2,,,,Costa Rica
880330 - Other parts of airplanes or helicopters,,1.35,1.35,2,,,,Costa Rica
880390 - Other,"1,948",1.56,1.56,5,,,,Costa Rica
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,2.70,1,,,,Costa Rica
880510 - Aircraft launching gear and parts thereof; deck- Arrestor or similar gear and parts thereof,,2.20,2.20,2,,,,Costa Rica
880521 -- Air combat simulators and parts thereof,,1.70,1.70,1,,,,Costa Rica
880529 -- Other,,0.85,0.85,2,,,,Costa Rica
,2001,"54,858",2.02,2.02,33,,,,Costa Rica
880110 - Gliders and hang gliders,,1.85,1.85,2,,,,Costa Rica
