Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
080222 -- Shelled,,6.00,6.00,1,,,,United States of America
080231 -- In shell,"621,799",10.00,10.00,1,,,,United States of America
080232 -- Shelled,"114,000",10.00,10.00,1,,,,United States of America
080241 -- In shell,,10.00,10.00,1,,,,United States of America
080242 -- Shelled,,10.00,10.00,1,,,,United States of America
080251 -- In shell,"1,470,049",10.00,10.00,1,,,,United States of America
080252 -- Shelled,"299,353",10.00,10.00,1,,,,United States of America
080261 -- In shell,,10.00,10.00,1,,,,United States of America
080262 -- Shelled,,10.00,10.00,1,,,,United States of America
080270 - Kola nuts (Cola spp.),,10.00,10.00,1,,,,United States of America
080280 - Areca nuts,,10.00,10.00,1,,,,United States of America
080290 - Other,,10.00,10.00,1,,,,United States of America
080310 - Plantains,,10.00,10.00,1,,,,United States of America
080390 - Other,,10.00,10.00,1,,,,United States of America
080410 - Dates,"270,722",10.00,10.00,2,,,,United States of America
080420 - Figs,30,10.00,10.00,2,,,,United States of America
080430 - Pineapples,,10.00,10.00,1,,,,United States of America
080440 - Avocados,,10.00,10.00,1,,,,United States of America
"080450 - Guavas, mangoes and mangosteens",,10.00,10.00,3,,,,United States of America
080510 - Oranges,,10.00,10.00,1,,,,United States of America
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids",,10.00,10.00,1,,,,United States of America
"080540 - Grapefruit, including pomelos",,10.00,10.00,1,,,,United States of America
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)","37,930",10.00,10.00,1,,,,United States of America
080590 - Other,,10.00,10.00,1,,,,United States of America
080610 - Fresh,"166,753",10.00,10.00,1,,,,United States of America
080620 - Dried,"1,113,398",10.00,10.00,1,,,,United States of America
080711 -- Watermelons,,10.00,10.00,1,,,,United States of America
080719 -- Other,,10.00,10.00,1,,,,United States of America
080720 - Papaws (papayas),,10.00,10.00,1,,,,United States of America
080810 - Apples,"54,897",10.00,10.00,1,,,,United States of America
080830 - Pears,"4,034,424",10.00,10.00,1,,,,United States of America
080840 - Quinces,,10.00,10.00,1,,,,United States of America
080910 - Apricots,"120,776",10.00,10.00,1,,,,United States of America
080921 -- Sour cherries (Prunus cerasus),,10.00,10.00,1,,,,United States of America
080929 -- Other,"1,727,139",10.00,10.00,1,,,,United States of America
"080930 - Peaches, including nectarines","2,339,113",10.00,10.00,2,,,,United States of America
080940 - Plums and sloes,"2,223,818",10.00,10.00,1,,,,United States of America
081010 - Strawberries,"510,587",10.00,10.00,1,,,,United States of America
"081020 - Raspberries, blackberries, mulberries and loganberries","291,828",10.00,10.00,1,,,,United States of America
"081030 - Black, white or red currants and gooseberries","47,238",10.00,10.00,1,,,,United States of America
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium","568,700",10.00,10.00,1,,,,United States of America
081050 - Kiwifruit,,10.00,10.00,1,,,,United States of America
081060 - Durians,,10.00,10.00,1,,,,United States of America
081070 - Persimmons,,10.00,10.00,1,,,,United States of America
081090 - Other,"1,261,902",10.00,10.00,1,,,,United States of America
081110 - Strawberries,,10.00,10.00,1,,,,United States of America
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,10.00,10.00,1,,,,United States of America
081190 - Other,,10.00,10.00,1,,,,United States of America
081210 - Cherries,,10.00,10.00,1,,,,United States of America
081290 - Other,,10.00,10.00,1,,,,United States of America
081310 - Apricots,,10.00,10.00,1,,,,United States of America
081320 - Prunes,"158,529",10.00,10.00,2,,,,United States of America
081330 - Apples,24,10.00,10.00,1,,,,United States of America
081340 - Other fruit,"594,266",10.00,10.00,2,,,,United States of America
081350 - Mixtures of nuts or dried fruits of this Chapter,"478,108",10.00,10.00,1,,,,United States of America
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,10.00,10.00,1,,,,United States of America
,2013,"25,176,358",10.50,10.50,74,,,,United States of America
080111 -- Desiccated,,32.50,32.50,2,,,,United States of America
080112 -- In the inner shell (endocarp),,10.00,10.00,1,,,,United States of America
080119 -- Other,,10.00,10.00,1,,,,United States of America
080121 -- In shell,,10.00,10.00,1,,,,United States of America
080122 -- Shelled,,10.00,10.00,1,,,,United States of America
080131 -- In shell,,10.00,10.00,1,,,,United States of America
080132 -- Shelled,,10.00,10.00,1,,,,United States of America
080211 -- In shell,"63,490",10.00,10.00,1,,,,United States of America
080212 -- Shelled,"6,226,353",10.00,10.00,1,,,,United States of America
080221 -- In shell,,6.00,6.00,1,,,,United States of America
080222 -- Shelled,,6.00,6.00,1,,,,United States of America
080231 -- In shell,"947,410",10.00,10.00,1,,,,United States of America
080232 -- Shelled,"183,006",10.00,10.00,1,,,,United States of America
080241 -- In shell,,10.00,10.00,1,,,,United States of America
080242 -- Shelled,,10.00,10.00,1,,,,United States of America
080251 -- In shell,"1,045,629",10.00,10.00,1,,,,United States of America
080252 -- Shelled,"969,381",10.00,10.00,1,,,,United States of America
080261 -- In shell,,10.00,10.00,1,,,,United States of America
080262 -- Shelled,,10.00,10.00,1,,,,United States of America
080270 - Kola nuts (Cola spp.),,10.00,10.00,1,,,,United States of America
080280 - Areca nuts,,10.00,10.00,1,,,,United States of America
080290 - Other,,10.00,10.00,1,,,,United States of America
080310 - Plantains,,10.00,10.00,1,,,,United States of America
080390 - Other,,10.00,10.00,1,,,,United States of America
080410 - Dates,"13,579",10.00,10.00,2,,,,United States of America
080420 - Figs,,10.00,10.00,2,,,,United States of America
080430 - Pineapples,,10.00,10.00,1,,,,United States of America
080440 - Avocados,,10.00,10.00,1,,,,United States of America
"080450 - Guavas, mangoes and mangosteens","30,492",10.00,10.00,3,,,,United States of America
080510 - Oranges,,10.00,10.00,1,,,,United States of America
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids",,10.00,10.00,1,,,,United States of America
"080540 - Grapefruit, including pomelos",,10.00,10.00,1,,,,United States of America
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)","21,524",10.00,10.00,1,,,,United States of America
080590 - Other,,10.00,10.00,1,,,,United States of America
080610 - Fresh,"205,104",10.00,10.00,1,,,,United States of America
080620 - Dried,"1,622,047",10.00,10.00,1,,,,United States of America
080711 -- Watermelons,,10.00,10.00,1,,,,United States of America
080719 -- Other,,10.00,10.00,1,,,,United States of America
080720 - Papaws (papayas),,10.00,10.00,1,,,,United States of America
080810 - Apples,,10.00,10.00,1,,,,United States of America
080830 - Pears,"5,119,607",10.00,10.00,1,,,,United States of America
080840 - Quinces,,10.00,10.00,1,,,,United States of America
080910 - Apricots,"162,262",10.00,10.00,1,,,,United States of America
080921 -- Sour cherries (Prunus cerasus),,10.00,10.00,1,,,,United States of America
080929 -- Other,"1,727,941",10.00,10.00,1,,,,United States of America
"080930 - Peaches, including nectarines","2,225,491",10.00,10.00,2,,,,United States of America
080940 - Plums and sloes,"1,352,520",10.00,10.00,1,,,,United States of America
081010 - Strawberries,"658,135",10.00,10.00,1,,,,United States of America
"081020 - Raspberries, blackberries, mulberries and loganberries","340,427",10.00,10.00,1,,,,United States of America
