Importer,Year,Value,Ad val. duties,Number of lines,China
,(US$),Simple average,MFN duties,Pref. duties,China
,MFN,Best,All items,Non ad val.,All items,Non ad val.,China
611699 - - Of other textile materials,,8.90,8.90,1,,,,China
"611710 - Shawls, scarves, mufflers, mantillas, veils and the like",,12.00,12.00,1,,,,China
611780 - Other accessories,,10.00,10.00,2,,,,China
611790 - Parts,,12.00,12.00,1,,,,China
,2017,"14,165,425,620",11.60,11.60,147,,,,China
610120 - Of cotton,"66,969,880",12.00,12.00,2,,,,China
610130 - Of man-made fibres,"136,200,103",12.00,12.00,2,,,,China
610190 - Of other textile materials,"12,616,365",12.00,12.00,2,,,,China
610210 - Of wool or fine animal hair,"15,926,878",12.00,12.00,2,,,,China
610220 - Of cotton,"79,405,243",12.00,12.00,2,,,,China
610230 - Of man-made fibres,"327,994,584",12.00,12.00,2,,,,China
610290 - Of other textile materials,"7,364,570",12.00,12.00,2,,,,China
610310 - Suits,"8,123,369",12.00,12.00,2,,,,China
610322 - - Of cotton,"4,358,242",12.00,12.00,1,,,,China
610323 - - Of synthetic fibres,"17,360,046",12.00,12.00,1,,,,China
610329 - - Of other textile materials,"982,515",12.00,12.00,1,,,,China
610331 - - Of wool or fine animal hair,"3,050,507",12.00,12.00,1,,,,China
610332 - - Of cotton,"25,511,833",12.00,12.00,1,,,,China
610333 - - Of synthetic fibres,"68,747,855",12.00,12.00,1,,,,China
610339 - - Of other textile materials,"7,683,316",12.00,12.00,1,,,,China
610341 - - Of wool or fine animal hair,"2,044,750",12.00,12.00,1,,,,China
610342 - - Of cotton,"143,158,359",12.00,12.00,1,,,,China
610343 - - Of synthetic fibres,"159,035,586",12.00,12.00,1,,,,China
610349 - - Of other textile materials,"11,639,550",12.00,12.00,1,,,,China
610413 - - Of synthetic fibres,"6,004,308",12.00,12.00,1,,,,China
610419 - - Of other textile materials,"6,167,135",12.00,12.00,2,,,,China
610422 - - Of cotton,"13,590,767",12.00,12.00,1,,,,China
610423 - - Of synthetic fibres,"11,548,712",12.00,12.00,1,,,,China
610429 - - Of other textile materials,"5,493,635",12.00,12.00,2,,,,China
610431 - - Of wool or fine animal hair,"5,919,421",12.00,12.00,1,,,,China
610432 - - Of cotton,"37,116,328",12.00,12.00,1,,,,China
610433 - - Of synthetic fibres,"108,707,449",12.00,12.00,1,,,,China
610439 - - Of other textile materials,"21,387,328",12.00,12.00,1,,,,China
610441 - - Of wool or fine animal hair,"18,438,166",12.00,12.00,1,,,,China
610442 - - Of cotton,"124,323,019",12.00,12.00,1,,,,China
610443 - - Of synthetic fibres,"362,692,272",12.00,12.00,1,,,,China
610444 - - Of artificial fibres,"130,707,252",12.00,12.00,1,,,,China
610449 - - Of other textile materials,"61,953,246",12.00,12.00,1,,,,China
610451 - - Of wool or fine animal hair,"2,690,647",12.00,12.00,1,,,,China
610452 - - Of cotton,"16,079,169",12.00,12.00,1,,,,China
610453 - - Of synthetic fibres,"71,959,598",12.00,12.00,1,,,,China
610459 - - Of other textile materials,"22,123,622",12.00,12.00,1,,,,China
610461 - - Of wool or fine animal hair,"5,252,475",12.00,12.00,1,,,,China
610462 - - Of cotton,"266,500,670",12.00,12.00,1,,,,China
610463 - - Of synthetic fibres,"412,960,401",12.00,12.00,1,,,,China
610469 - - Of other textile materials,"71,659,845",12.00,12.00,1,,,,China
610510 - Of cotton,"183,929,846",12.00,12.00,1,,,,China
610520 - Of man-made fibres,"66,555,321",12.00,12.00,2,,,,China
610590 - Of other textile materials,"8,635,866",12.00,12.00,2,,,,China
610610 - Of cotton,"53,675,514",12.00,12.00,1,,,,China
610620 - Of man-made fibres,"142,545,492",12.00,12.00,1,,,,China
610690 - Of other textile materials,"19,375,159",12.00,12.00,4,,,,China
610711 - - Of cotton,"307,437,985",12.00,12.00,1,,,,China
610712 - - Of man-made fibres,"60,102,675",12.00,12.00,1,,,,China
610719 - - Of other textile materials,"9,396,932",12.00,12.00,1,,,,China
610721 - - Of cotton,"45,617,424",12.00,12.00,1,,,,China
610722 - - Of man-made fibres,"26,767,408",12.00,12.00,1,,,,China
610729 - - Of other textile materials,"1,132,733",12.00,12.00,1,,,,China
610791 - - Of cotton,"6,059,770",12.00,12.00,1,,,,China
610799 - - Of other textile materials,"28,656,517",12.00,12.00,1,,,,China
610811 - - Of man-made fibres,"8,957,571",12.00,12.00,1,,,,China
610819 - - Of other textile materials,"1,338,265",12.00,12.00,1,,,,China
610821 - - Of cotton,"201,446,832",12.00,12.00,1,,,,China
610822 - - Of man-made fibres,"342,039,202",12.00,12.00,1,,,,China
610829 - - Of other textile materials,"15,289,908",12.00,12.00,1,,,,China
610831 - - Of cotton,"88,679,538",12.00,12.00,1,,,,China
610832 - - Of man-made fibres,"130,707,321",12.00,12.00,1,,,,China
610839 - - Of other textile materials,"6,736,043",12.00,12.00,1,,,,China
610891 - - Of cotton,"18,437,568",12.00,12.00,1,,,,China
610892 - - Of man-made fibres,"133,907,481",12.00,12.00,1,,,,China
610899 - - Of other textile materials,"6,523,036",12.00,12.00,1,,,,China
610910 - Of cotton,"492,274,892",12.00,12.00,1,,,,China
610990 - Of other textile materials,"783,725,810",12.00,12.00,2,,,,China
611011 - - Of wool,"410,164,850",11.50,11.50,3,,,,China
611012 - - Of Kashmir (cashmere) goats,"205,965,041",12.00,12.00,2,,,,China
611019 - - Other,"28,051,776",12.00,12.00,2,,,,China
611020 - Of cotton,"1,376,889,159",12.00,12.00,3,,,,China
611030 - Of man-made fibres,"2,417,866,673",12.00,12.00,3,,,,China
611090 - Of other textile materials,"100,670,654",12.00,12.00,2,,,,China
611120 - Of cotton,"574,610,425",10.45,10.45,2,,,,China
611130 - Of synthetic fibres,"120,251,196",10.45,10.45,2,,,,China
611190 - Of other textile materials,"14,537,656",10.97,10.97,3,,,,China
611211 - - Of cotton,"20,503,044",12.00,12.00,1,,,,China
611212 - - Of synthetic fibres,"40,869,165",12.00,12.00,1,,,,China
611219 - - Of other textile materials,"1,324,420",12.00,12.00,1,,,,China
611220 - Ski suits,"1,534,862",12.00,12.00,1,,,,China
611231 - - Of synthetic fibres,"59,508,060",10.00,10.00,2,,,,China
611239 - - Of other textile materials,"1,558,701",10.00,10.00,2,,,,China
611241 - - Of synthetic fibres,"390,669,998",10.00,10.00,2,,,,China
611249 - - Of other textile materials,"6,429,779",10.00,10.00,2,,,,China
"611300 Garments, made up of knitted or crocheted fabrics of heading 59.03, 59.06 or 59.07.","123,270,669",10.00,10.00,2,,,,China
611420 - Of cotton,"56,450,259",12.00,12.00,1,,,,China
611430 - Of man-made fibres,"323,953,640",12.00,12.00,1,,,,China
611490 - Of other textile materials,"24,451,106",12.00,12.00,1,,,,China
"611510 - Graduated compression hosiery (for example, stockings for varicose veins)","6,163,140",10.00,10.00,2,,,,China
"611521 - - Of synthetic fibres, measuring per single yarn less than 67 decitex","19,483,451",12.00,12.00,1,,,,China
"611522 - - Of synthetic fibres, measuring per single yarn 67 decitex or more","36,347,900",12.00,12.00,1,,,,China
611529 - - Of other textile materials,"59,777,060",12.00,12.00,1,,,,China
"611530 - Other women's full-length or knee-length hosiery, measuring per single yarn less than 67 decitex","13,874,316",12.00,12.00,3,,,,China
611594 - - Of wool or fine animal hair,"6,438,746",12.00,12.00,1,,,,China
611595 - - Of cotton,"500,209,394",12.00,12.00,1,,,,China
611596 - - Of synthetic fibres,"215,003,780",12.00,12.00,3,,,,China
611599 - - Of other textile materials,"31,386,766",12.00,12.00,1,,,,China
"611610 - Impregnated, coated or covered with plastics or rubber","425,994,842",8.45,8.45,2,,,,China
611691 - - Of wool or fine animal hair,"14,078,289",8.90,8.90,1,,,,China
611692 - - Of cotton,"22,049,123",8.90,8.90,1,,,,China
611693 - - Of synthetic fibres,"150,753,806",8.90,8.90,1,,,,China
611699 - - Of other textile materials,"12,719,926",8.90,8.90,1,,,,China
"611710 - Shawls, scarves, mufflers, mantillas, veils and the like","202,771,772",12.00,12.00,1,,,,China
611780 - Other accessories,"73,094,455",10.00,10.00,2,,,,China
611790 - Parts,"4,346,594",12.00,12.00,1,,,,China
,2016,"14,167,765,598",11.60,11.60,147,,,,China
610120 - Of cotton,"64,326,513",12.00,12.00,2,,,,China
