Importer,Year,Value,Ad val. duties,Number of lines,South Africa
,(US$),Simple average,MFN duties,Pref. duties,South Africa
,MFN,Best,All items,Non ad val.,All items,Non ad val.,South Africa
392043 - - Containing by weight not less than 6 % of plasticisers,,6.50,0.00,2,,2,,South Africa
392049 - - Other,,6.50,0.00,2,,2,,South Africa
392051 - - Of poly(methyl methacrylate),,6.50,0.00,1,,1,,South Africa
392059 - - Other,,3.25,0.00,2,,1,,South Africa
392061 - - Of polycarbonates,,6.50,0.00,1,,1,,South Africa
392062 - - Of poly(ethylene terephthalate),,4.33,0.00,3,,2,,South Africa
392063 - - Of unsaturated polyesters,,6.50,0.00,1,,1,,South Africa
392069 - - Of other polyesters,,6.50,0.00,1,,1,,South Africa
392071 - - Of regenerated cellulose,,6.50,0.00,1,,1,,South Africa
392073 - - Of cellulose acetate,,6.40,0.00,2,,2,,South Africa
392079 - - Of other cellulose derivatives,,6.10,0.00,2,,2,,South Africa
392091 - - Of poly(vinyl butyral),,6.10,0.00,1,,1,,South Africa
392092 - - Of polyamides,,6.50,0.00,1,,1,,South Africa
392093 - - Of amino-resins,,6.50,0.00,1,,1,,South Africa
392094 - - Of phenolic resins,,6.50,0.00,1,,1,,South Africa
392099 - - Of other plastics,,3.25,0.00,6,,3,,South Africa
392111 - - Of polymers of styrene,,6.50,0.00,1,,1,,South Africa
392112 - - Of polymers of vinyl chloride,,6.50,0.00,1,,1,,South Africa
392113 - - Of polyurethanes,,6.50,0.00,2,,2,,South Africa
392114 - - Of regenerated cellulose,,6.50,0.00,1,,1,,South Africa
392119 - - Of other plastics,,6.50,0.00,1,,1,,South Africa
392190 - Other,,6.50,0.00,8,,8,,South Africa
"392210 - Baths, shower-baths, sinks and wash-basins",,6.50,0.00,1,,1,,South Africa
392220 - Lavatory seats and covers,,6.50,0.00,1,,1,,South Africa
392290 - Other,,6.50,0.00,1,,1,,South Africa
"392310 - Boxes, cases, crates and similar articles",,3.25,0.00,2,,1,,South Africa
392321 - - Of polymers of ethylene,,6.50,0.00,1,,1,,South Africa
392329 - - Of other plastics,,6.50,0.00,2,,2,,South Africa
"392330 - Carboys, bottles, flasks and similar articles",,6.50,0.00,2,,2,,South Africa
"392340 - Spools, cops, bobbins and similar supports",,5.90,0.00,2,,2,,South Africa
"392350 - Stoppers, lids, caps and other closures",,6.50,0.00,2,,2,,South Africa
392390 - Other,,6.50,0.00,1,,1,,South Africa
392410 - Tableware and kitchenware,,6.50,0.00,1,,1,,South Africa
392490 - Other,,6.50,0.00,1,,1,,South Africa
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,6.50,0.00,1,,1,,South Africa
"392520 - Doors, windows and their frames and thresholds for doors",,6.50,0.00,1,,1,,South Africa
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",,6.50,0.00,1,,1,,South Africa
392590 - Other,,6.50,0.00,3,,3,,South Africa
392610 - Office or school supplies,,6.50,0.00,1,,1,,South Africa
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)",,6.50,0.00,1,,1,,South Africa
"392630 - Fittings for furniture, coachwork or the like",,6.50,0.00,1,,1,,South Africa
392640 - Statuettes and other ornamental articles,,6.50,0.00,1,,1,,South Africa
392690 - Other,,6.50,0.00,3,,3,,South Africa
,2017,"128,082,750",5.49,0.00,210,,179,,South Africa
390110 - Polyethylene having a specific gravity of less than 0.94,"3,393,961",6.50,0.00,2,,2,,South Africa
390120 - Polyethylene having a specific gravity of 0.94 or more,"1,374,838",3.25,0.00,2,,1,,South Africa
