Importer,Year,Value,Ad val. duties,Number of lines,India
,(US$),Simple average,MFN duties,Pref. duties,India
,MFN,Best,All items,Non ad val.,All items,Non ad val.,India
"870360 - Other vehicles, with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, capable of being charged by plugging to external source of electric power",,35.00,35.00,1,,,,India
"870370 - Other vehicles, with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion, capable of being charged by plugging to external source of electric power",,35.00,35.00,1,,,,India
"870380 - Other vehicles, with only electric motor for propulsion",,35.00,35.00,1,,,,India
870390 - Other,,35.00,35.00,1,,,,India
870410 - Dumpers designed for off-highway use,,7.00,7.00,2,,,,India
870421 - - g.v.w. not exceeding 5 tonnes,,35.00,35.00,4,,,,India
870422 - - g.v.w. exceeding 5 tonnes but not exceeding 20 tonnes,,35.00,35.00,4,,,,India
870423 - - g.v.w. exceeding 20 tonnes,,35.00,35.00,4,,,,India
870431 - - g.v.w. not exceeding 5 tonnes,,35.00,35.00,4,,,,India
870432 - - g.v.w. exceeding 5 tonnes,,35.00,35.00,4,,,,India
870490 - Other,,35.00,35.00,1,,,,India
870510 - Crane lorries,,35.00,35.00,2,,,,India
870520 - Mobile drilling derricks,,35.00,35.00,1,,,,India
870530 - Fire fighting vehicles,,35.00,35.00,1,,,,India
870540 - Concrete-mixer lorries,,35.00,35.00,1,,,,India
870590 - Other,,18.50,18.50,2,,,,India
"870600 Chassis fitted with engines, for the motor vehicles of headings 87.01 to 87.05.","685,460",28.00,28.00,3,,,,India
870710 - For the vehicles of heading 87.03,,35.00,35.00,1,,,,India
870790 - Other,,24.50,24.50,2,,,,India
870810 - Bumpers and parts thereof,"394,985",18.00,18.00,1,,,,India
870821 - - Safety seat belts,"287,340",18.00,18.00,1,,,,India
870829 - - Other,"11,944,622",14.73,14.73,11,,,,India
870830 - Brakes and servo-brakes; parts thereof,"6,175,034",16.67,16.67,3,,,,India
870840 - Gear boxes and parts thereof,"23,269,988",12.50,12.50,4,,,,India
"870850 - Drive-axles with differential, whether or not provided with other transmission components, and non-driving axles; parts thereof","12,785,143",13.00,13.00,6,,,,India
870870 - Road wheels and parts and accessories thereof,"294,574",16.00,16.00,2,,,,India
870880 - Suspension systems and parts thereof (including shock-absorbers),"5,500,238",18.00,18.00,1,,,,India
870891 - - Radiators and parts thereof,"773,832",18.00,18.00,1,,,,India
870892 - - Silencers (mufflers) and exhaust pipes; parts thereof,"1,677,255",18.00,18.00,1,,,,India
870893 - - Clutches and parts thereof,"757,156",18.00,18.00,1,,,,India
"870894 - - Steering wheels, steering columns and steering boxes; parts thereof","8,663,598",16.29,16.29,7,,,,India
870895 - - Safety airbags with inflater system; parts thereof,,10.00,10.00,4,,,,India
870899 - - Other,"19,989,294",9.00,9.00,2,,,,India
870911 - - Electrical,,14.00,14.00,1,,,,India
870919 - - Other,,14.00,14.00,1,,,,India
870990 - Parts,"5,576",14.00,14.00,1,,,,India
"871000 Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, and parts of such vehicles.",,0.00,0.00,1,,,,India
871110 - With reciprocating internal combustion piston engine of a cylinder capacity not exceeding 50 cc,,20.00,20.00,1,,,,India
871120 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 50 cc but not exceeding 250 cc,"55,551",20.00,20.00,3,,,,India
871130 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 250 cc but not exceeding 500 cc,"1,468,986",20.00,20.00,1,,,,India
871140 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 500 cc but not exceeding 800 cc,"116,976",20.00,20.00,1,,,,India
871150 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 800 cc,,20.00,20.00,1,,,,India
871160 - With electric motor for propulsion,,20.00,20.00,1,,,,India
871190 - Other,,20.00,20.00,1,,,,India
"871200 Bicycles and other cycles (including delivery tricycles), not motorised.",370,27.50,27.50,2,,,,India
871310 - Not mechanically propelled,,12.00,12.00,1,,,,India
871390 - Other,,2.00,2.00,1,,,,India
871410 - Of motorcycles (including mopeds),"5,321,905",16.00,16.00,1,,,,India
871420 - Of carriages for disabled persons,,10.00,10.00,1,,,,India
"871491 - - Frames and forks, and parts thereof","5,264",16.00,16.00,1,,,,India
871492 - - Wheel rims and spokes,"11,456",16.00,16.00,1,,,,India
"871493 - - Hubs, other than coaster braking hubs and hub brakes, and free-wheel sprocket-wheels","420,215",16.00,16.00,2,,,,India
"871494 - - Brakes, including coaster braking hubs and hub brakes, and parts thereof","220,942",16.00,16.00,2,,,,India
871495 - - Saddles,"20,014",16.00,16.00,1,,,,India
"871496 - - Pedals and crank-gear, and parts thereof",254,16.00,16.00,1,,,,India
871499 - - Other,"919,328",16.00,16.00,2,,,,India
871500 Baby carriages and parts thereof.,,20.00,20.00,1,,,,India
"871610 - Trailers and semi-trailers of the caravan type, for housing or camping",,20.00,20.00,1,,,,India
