Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,451,10.00,10.00,2,,,,United States of America
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,"102,788",10.00,10.00,3,,,,United States of America
880521 -- Air combat simulators and parts thereof,"1,003,986",10.00,10.00,1,,,,United States of America
880529 -- Other,"816,306",10.00,10.00,1,,,,United States of America
,2012,"1,662,502,932",7.83,7.83,20,,,,United States of America
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","1,412,718",10.00,10.00,3,,,,United States of America
"880211 -- Of an unladen weight not exceeding 2,000 kg",,10.00,10.00,1,,,,United States of America
"880212 -- Of an unladen weight exceeding 2,000 kg","14,093,175",10.00,10.00,1,,,,United States of America
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","4,760,856",3.00,3.00,1,,,,United States of America
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","1,020,585,763",3.00,3.00,1,,,,United States of America
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,3.00,1,,,,United States of America
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,United States of America
880310 - Propellers and rotors and parts thereof,"22,704,718",2.50,2.50,1,,,,United States of America
880320 - Under-carriages and parts thereof,"206,904",2.50,2.50,1,,,,United States of America
880330 - Other parts of aeroplanes or helicopters,"587,234,158",2.50,2.50,1,,,,United States of America
880390 - Other,"10,438,779",10.00,10.00,1,,,,United States of America
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"161,500",10.00,10.00,2,,,,United States of America
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,"79,144",10.00,10.00,3,,,,United States of America
880521 -- Air combat simulators and parts thereof,"392,052",10.00,10.00,1,,,,United States of America
880529 -- Other,"433,165",10.00,10.00,1,,,,United States of America
,2011,"1,496,312,943",7.90,7.90,20,,,,United States of America
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","203,701",10.00,10.00,3,,,,United States of America
"880211 -- Of an unladen weight not exceeding 2,000 kg","9,295,780",10.00,10.00,1,,,,United States of America
"880212 -- Of an unladen weight exceeding 2,000 kg","42,702,473",10.00,10.00,1,,,,United States of America
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","64,391,156",3.00,3.00,1,,,,United States of America
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","930,575,880",3.00,3.00,1,,,,United States of America
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","99,269,380",3.00,3.00,1,,,,United States of America
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,United States of America
880310 - Propellers and rotors and parts thereof,"1,906,672",3.00,3.00,1,,,,United States of America
880320 - Under-carriages and parts thereof,"825,361",3.00,3.00,1,,,,United States of America
880330 - Other parts of aeroplanes or helicopters,"327,906,173",3.00,3.00,1,,,,United States of America
880390 - Other,"18,194,133",10.00,10.00,1,,,,United States of America
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"84,080",10.00,10.00,2,,,,United States of America
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,10.00,10.00,3,,,,United States of America
880521 -- Air combat simulators and parts thereof,"818,878",10.00,10.00,1,,,,United States of America
880529 -- Other,"139,276",10.00,10.00,1,,,,United States of America
,2010,"1,596,148,851",7.90,7.90,20,,,,United States of America
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","41,885",10.00,10.00,3,,,,United States of America
"880211 -- Of an unladen weight not exceeding 2,000 kg","61,546,217",10.00,10.00,1,,,,United States of America
"880212 -- Of an unladen weight exceeding 2,000 kg","59,755,440",10.00,10.00,1,,,,United States of America
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","68,358,209",3.00,3.00,1,,,,United States of America
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","476,384,515",3.00,3.00,1,,,,United States of America
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","550,518,684",3.00,3.00,1,,,,United States of America
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,United States of America
880310 - Propellers and rotors and parts thereof,"211,361",3.00,3.00,1,,,,United States of America
880320 - Under-carriages and parts thereof,"132,133",3.00,3.00,1,,,,United States of America
880330 - Other parts of aeroplanes or helicopters,"352,262,163",3.00,3.00,1,,,,United States of America
880390 - Other,"25,695,100",10.00,10.00,1,,,,United States of America
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"27,097",10.00,10.00,2,,,,United States of America
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,10.00,10.00,3,,,,United States of America
880521 -- Air combat simulators and parts thereof,"285,440",10.00,10.00,1,,,,United States of America
880529 -- Other,"930,607",10.00,10.00,1,,,,United States of America
,2009,"2,398,182,420",7.90,7.90,20,,,,United States of America
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","139,577",10.00,10.00,3,,,,United States of America
"880211 -- Of an unladen weight not exceeding 2,000 kg","9,337,509",10.00,10.00,1,,,,United States of America
"880212 -- Of an unladen weight exceeding 2,000 kg","53,587,333",10.00,10.00,1,,,,United States of America
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","13,748,071",3.00,3.00,1,,,,United States of America
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","1,975,839,934",3.00,3.00,1,,,,United States of America
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,3.00,1,,,,United States of America
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,"25,872",10.00,10.00,1,,,,United States of America
880310 - Propellers and rotors and parts thereof,"442,358",3.00,3.00,1,,,,United States of America
880320 - Under-carriages and parts thereof,"170,036",3.00,3.00,1,,,,United States of America
880330 - Other parts of aeroplanes or helicopters,"324,691,366",3.00,3.00,1,,,,United States of America
880390 - Other,"18,560,996",10.00,10.00,1,,,,United States of America
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"55,220",10.00,10.00,2,,,,United States of America
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,10.00,10.00,3,,,,United States of America
880521 -- Air combat simulators and parts thereof,"588,441",10.00,10.00,1,,,,United States of America
880529 -- Other,"995,706",10.00,10.00,1,,,,United States of America
,2008,"1,541,897,731",6.45,6.45,20,,,,United States of America
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,8.33,8.33,3,,,,United States of America
"880211 -- Of an unladen weight not exceeding 2,000 kg","33,224,275",3.00,3.00,1,,,,United States of America
"880212 -- Of an unladen weight exceeding 2,000 kg","23,966,197",3.00,3.00,1,,,,United States of America
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","414,727,131",3.00,3.00,1,,,,United States of America
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","741,819,890",3.00,3.00,1,,,,United States of America
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,3.00,1,,,,United States of America
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,United States of America
880310 - Propellers and rotors and parts thereof,"196,173",3.00,3.00,1,,,,United States of America
880320 - Under-carriages and parts thereof,"101,354",3.00,3.00,1,,,,United States of America
880330 - Other parts of aeroplanes or helicopters,"317,310,694",3.00,3.00,1,,,,United States of America
880390 - Other,"9,489,830",10.00,10.00,1,,,,United States of America
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,10.00,10.00,2,,,,United States of America
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,"355,321",10.00,10.00,3,,,,United States of America
880521 -- Air combat simulators and parts thereof,"89,831",5.00,5.00,1,,,,United States of America
880529 -- Other,"617,034",5.00,5.00,1,,,,United States of America
,2007,"8,001,036,173",7.90,7.90,20,,,,United States of America
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","4,922",10.00,10.00,3,,,,United States of America
"880211 -- Of an unladen weight not exceeding 2,000 kg","196,815,933",10.00,10.00,1,,,,United States of America
"880212 -- Of an unladen weight exceeding 2,000 kg",,10.00,10.00,1,,,,United States of America
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","671,556,769",3.00,3.00,1,,,,United States of America
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","6,761,983,989",3.00,3.00,1,,,,United States of America
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,3.00,1,,,,United States of America
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,United States of America
880310 - Propellers and rotors and parts thereof,"237,615",3.00,3.00,1,,,,United States of America
880320 - Under-carriages and parts thereof,"165,952",3.00,3.00,1,,,,United States of America
880330 - Other parts of aeroplanes or helicopters,"347,622,684",3.00,3.00,1,,,,United States of America
880390 - Other,"21,245,955",10.00,10.00,1,,,,United States of America
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"14,396",10.00,10.00,2,,,,United States of America
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,10.00,10.00,3,,,,United States of America
880521 -- Air combat simulators and parts thereof,"731,315",10.00,10.00,1,,,,United States of America
880529 -- Other,"656,643",10.00,10.00,1,,,,United States of America
,2006,"1,952,117,713",9.65,9.65,20,,,,United States of America
880110 - Gliders and hang gliders,,12.50,12.50,1,,,,United States of America
880190 - Other,,12.50,12.50,2,,,,United States of America
