Importer,Year,Value,Ad val. duties,Number of lines,Nepal
,(US$),Simple average,MFN duties,Pref. duties,Nepal
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Nepal
852351 -- Solid-state non-volatile storage devices,,5.00,5.00,1,,,,Nepal
852352 -- «Smart cards»,,5.00,5.00,1,,,,Nepal
852359 -- Other,,5.00,5.00,1,,,,Nepal
852380 - Other,,5.00,5.00,1,,,,Nepal
852550 -Transmission apparatus,,5.00,5.00,1,,,,Nepal
852560 -Transmission apparatus incorporating reception apparatus,,5.00,5.00,1,,,,Nepal
"852580 -Television cameras, digital cameras and video camera recorders",,5.00,5.00,1,,,,Nepal
852610 - Radar apparatus,,5.00,5.00,1,,,,Nepal
852691 -- Radio navigational aid apparatus,,5.00,5.00,1,,,,Nepal
852692 -- Radio remote control apparatus,,5.00,5.00,1,,,,Nepal
852712 -- Pocket-size radio cassette-players,,5.00,5.00,1,,,,Nepal
852713 -- Other apparatus combined with sound recording or reproducing apparatus,,5.00,5.00,1,,,,Nepal
852719 -- Other,,5.00,5.00,1,,,,Nepal
852721 -- Combined with sound recording or reproducing apparatus,,5.00,5.00,1,,,,Nepal
852729 -- Other,,5.00,5.00,1,,,,Nepal
852791 -- Combined with sound recording or reproducing apparatus,,5.00,5.00,1,,,,Nepal
852792 -- Not combined with sound recording or reproducing apparatus but combined with a clock,,5.00,5.00,1,,,,Nepal
852799 -- Other,,5.00,5.00,1,,,,Nepal
852841 -- Of a kind solely or principally used in an automatic data processing system of heading 84.71,,0.00,0.00,1,,,,Nepal
852849 -- Other,,5.00,5.00,1,,,,Nepal
852851 -- Of a kind solely or principally used in an automatic data processing system of heading 84.71,,0.00,0.00,1,,,,Nepal
852859 -- Other,,5.00,5.00,1,,,,Nepal
852861 -- Of a kind solely or principally used in an automatic data processing system of heading 84.71,,0.00,0.00,1,,,,Nepal
852869 -- Other,,5.00,5.00,1,,,,Nepal
852871 -- Not designed to incorporate a video display or screen,,5.00,5.00,1,,,,Nepal
"852872 -- Other, colour",,5.00,5.00,1,,,,Nepal
"852873 -- Other, monochrome",,5.00,5.00,1,,,,Nepal
852910 - Aerials and aerial reflectors of all kinds; parts suitable for use therewith,,5.00,5.00,1,,,,Nepal
852990 - Other,,2.50,2.50,2,,,,Nepal
853010 - Equipment for railways or tramways,,5.00,5.00,1,,,,Nepal
853080 - Other equipment,,5.00,5.00,1,,,,Nepal
853090 - Parts,,5.00,5.00,1,,,,Nepal
853110 - Burglar or fire alarms and similar apparatus,,5.00,5.00,1,,,,Nepal
853120 - Indicator panels incorporating liquid crystal devices (LCD) or light emitting diodes (LED),,5.00,5.00,1,,,,Nepal
853180 - Other apparatus,,5.00,5.00,1,,,,Nepal
853190 - Parts,,5.00,5.00,1,,,,Nepal
853210 - Fixed capacitors designed for use in 50/60 Hz circuits and having a reactive power handling capacity of not less than 0.5 kvar (power capacitors),,5.00,5.00,1,,,,Nepal
853221 -- Tantalum,,5.00,5.00,1,,,,Nepal
853222 -- Aluminium electrolytic,,5.00,5.00,1,,,,Nepal
"853223 -- Ceramic dielectric, single layer",,5.00,5.00,1,,,,Nepal
"853224 -- Ceramic dielectric, multilayer",,5.00,5.00,1,,,,Nepal
853225 -- Dielectric of paper or plastics,,5.00,5.00,1,,,,Nepal
853229 -- Other,,5.00,5.00,1,,,,Nepal
853230 -Variable or adjustable (pre-set) capacitors,,5.00,5.00,1,,,,Nepal
853290 - Parts,,5.00,5.00,1,,,,Nepal
"853310 - Fixed carbon resistors, composition or film types",,5.00,5.00,1,,,,Nepal
853321 -- For a power handling capacity not exceeding 20 W,,5.00,5.00,1,,,,Nepal
853329 -- Other,,5.00,5.00,1,,,,Nepal
853331 -- For a power handling capacity not exceeding 20 W,,5.00,5.00,1,,,,Nepal
853339 -- Other,,5.00,5.00,1,,,,Nepal
"853340 - Other variable resistors, including rheostats and potentiometers",,5.00,5.00,1,,,,Nepal
853390 - Parts,,5.00,5.00,1,,,,Nepal
853400 Printed circuits.,,5.00,5.00,1,,,,Nepal
853510 - Fuses,,5.00,5.00,1,,,,Nepal
853521 -- For a voltage of less than 72.5 kV,,5.00,5.00,1,,,,Nepal
853529 -- Other,,5.00,5.00,1,,,,Nepal
853530 - Isolating switches and make-and-break switches,,5.00,5.00,1,,,,Nepal
"853540 - Lightning arresters, voltage limiters and surge suppressors",,5.00,5.00,1,,,,Nepal
853590 - Other,,5.00,5.00,1,,,,Nepal
853610 - Fuses,,5.00,5.00,1,,,,Nepal
853620 - Automatic circuit breakers,,5.00,5.00,1,,,,Nepal
853630 - Other apparatus for protecting electrical circuits,,5.00,5.00,1,,,,Nepal
853641 -- For a voltage not exceeding 60 V,,5.00,5.00,1,,,,Nepal
853649 -- Other,,5.00,5.00,1,,,,Nepal
853650 - Other switches,,5.00,5.00,1,,,,Nepal
853661 -- Lamp-holders,,5.00,5.00,1,,,,Nepal
853669 -- Other,,5.00,5.00,1,,,,Nepal
"853670 - Connectors for optical fibres, optical fibre bundles or cables",,7.50,7.50,2,,,,Nepal
853690 - Other apparatus,,5.00,5.00,1,,,,Nepal
"853710 - For a voltage not exceeding 1,000 V",,5.00,5.00,1,,,,Nepal
"853720 - For a voltage exceeding 1,000 V",,5.00,5.00,1,,,,Nepal
"853810 - Boards, panels, consoles, desks, cabinets and other bases for the goods of heading 85.37, not equipped with their apparatus",,5.00,5.00,1,,,,Nepal
853890 - Other,,5.00,5.00,1,,,,Nepal
853910 - Sealed beam lamp units,,5.00,5.00,1,,,,Nepal
853921 -- Tungsten halogen,,5.00,5.00,1,,,,Nepal
"853922 -- Other, of a power not exceeding 200 W and for a voltage exceeding 100 V",,5.00,5.00,1,,,,Nepal
853929 -- Other,,5.00,5.00,1,,,,Nepal
"853931 -- Fluorescent, hot cathode",,5.00,5.00,1,,,,Nepal
853932 -- Mercury or sodium vapour lamps; metal halide lamps,,5.00,5.00,1,,,,Nepal
853939 -- Other,,5.00,5.00,1,,,,Nepal
853941 -- Arc-lamps,,5.00,5.00,1,,,,Nepal
853949 -- Other,,5.00,5.00,1,,,,Nepal
853990 - Parts,,5.00,5.00,2,,,,Nepal
854011 -- Colour,,5.00,5.00,1,,,,Nepal
854012 -- Monochrome,,5.00,5.00,1,,,,Nepal
854020 -Television camera tubes; image converters and intensifiers; other photo-cathode tubes,,5.00,5.00,1,,,,Nepal
"854040 - Data/graphic display tubes, monochrome; data/graphic display tubes, colour, with a phosphor dot screen pitch smaller than 0.4 mm",,5.00,5.00,1,,,,Nepal
854060 - Other cathode-ray tubes,,5.00,5.00,1,,,,Nepal
854071 -- Magnetrons,,5.00,5.00,1,,,,Nepal
854079 -- Other,,5.00,5.00,1,,,,Nepal
854081 -- Receiver or amplifier valves and tubes,,5.00,5.00,1,,,,Nepal
854089 -- Other,,5.00,5.00,1,,,,Nepal
854091 -- Of cathode-ray tubes,,5.00,5.00,1,,,,Nepal
854099 -- Other,,5.00,5.00,1,,,,Nepal
"854110 - Diodes, other than photosensitive or light emitting diodes",,5.00,5.00,1,,,,Nepal
854121 -- With a dissipation rate of less than 1 W,,5.00,5.00,1,,,,Nepal
854129 -- Other,,5.00,5.00,1,,,,Nepal
"854130 -Thyristors, diacs and triacs, other than photosensitive devices",,5.00,5.00,1,,,,Nepal
"854140 - Photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes",,5.00,5.00,2,,,,Nepal
854150 - Other semiconductor devices,,5.00,5.00,1,,,,Nepal
