Importer,Year,Value,Ad val. duties,Number of lines,India
,(US$),Simple average,MFN duties,Pref. duties,India
,MFN,Best,All items,Non ad val.,All items,Non ad val.,India
850819 -- Other,,5.00,5.00,1,,,,India
850860 - Other vacuum cleaners,,5.00,5.00,1,,,,India
850870 - Parts,,5.00,5.00,1,,,,India
850940 - Food grinders and mixers; fruit or vegetable juice extractors,,5.00,5.00,1,,,,India
850980 - Other appliances,,5.00,5.00,1,,,,India
850990 - Parts,,5.00,5.00,1,,,,India
851010 - Shavers,,5.00,5.00,1,,,,India
851020 - Hair clippers,,5.00,5.00,1,,,,India
851030 - Hair-removing appliances,,5.00,5.00,1,,,,India
851090 - Parts,,5.00,5.00,1,,,,India
851110 - Sparking plugs,,5.00,5.00,1,,,,India
851120 - Ignition magnetos; magneto-dynamos; magnetic flywheels,,5.00,5.00,1,,,,India
851130 - Distributors; ignition coils,,5.00,5.00,1,,,,India
851140 - Starter motors and dual purpose starter-generators,,5.00,5.00,1,,,,India
851150 - Other generators,,5.00,5.00,1,,,,India
851180 - Other equipment,,5.00,5.00,1,,,,India
851190 - Parts,,5.00,5.00,1,,,,India
851210 - Lighting or visual signalling equipment of a kind used on bicycles,,5.00,5.00,1,,,,India
851220 - Other lighting or visual signalling equipment,,5.00,5.00,1,,,,India
851230 - Sound signalling equipment,,5.00,5.00,1,,,,India
"851240 -Windscreen wipers, defrosters and demisters",,5.00,5.00,1,,,,India
851290 - Parts,,5.00,5.00,1,,,,India
851310 - Lamps,,5.00,5.00,1,,,,India
851390 - Parts,,5.00,5.00,1,,,,India
851410 - Resistance heated furnaces and ovens,,5.00,5.00,1,,,,India
851420 - Furnaces and ovens functioning by induction or dielectric loss,,5.00,5.00,1,,,,India
851430 - Other furnaces and ovens,,5.00,5.00,1,,,,India
851440 - Other equipment for the heat treatment of materials by induction or dielectric loss,,5.00,5.00,1,,,,India
851490 - Parts,,5.00,5.00,1,,,,India
851511 -- Soldering irons and guns,,5.00,5.00,1,,,,India
851519 -- Other,,5.00,5.00,1,,,,India
851521 -- Fully or partly automatic,,5.00,5.00,1,,,,India
851529 -- Other,,5.00,5.00,1,,,,India
851531 -- Fully or partly automatic,,5.00,5.00,1,,,,India
851539 -- Other,,5.00,5.00,1,,,,India
851580 - Other machines and apparatus,,5.00,5.00,3,,,,India
851590 - Parts,,5.00,5.00,3,,,,India
851610 - Electric instantaneous or storage water heaters and immersion heaters,,5.00,5.00,1,,,,India
851621 -- Storage heating radiators,,5.00,5.00,1,,,,India
851629 -- Other,,5.00,5.00,1,,,,India
851631 -- Hair dryers,,5.00,5.00,1,,,,India
851632 -- Other hair-dressing apparatus,,5.00,5.00,1,,,,India
851633 -- Hand-drying apparatus,,5.00,5.00,1,,,,India
851640 - Electric smoothing irons,,5.00,5.00,1,,,,India
851650 -Microwave ovens,,5.00,5.00,1,,,,India
"851660 - Other ovens; cookers, cooking plates, boiling rings, grillers and roasters",,5.00,5.00,1,,,,India
851671 -- Coffee or tea makers,,5.00,5.00,1,,,,India
851672 -- Toasters,,5.00,5.00,1,,,,India
851679 -- Other,,5.00,5.00,1,,,,India
851680 - Electric heating resistors,,5.00,5.00,1,,,,India
851690 - Parts,,5.00,5.00,1,,,,India
851711 -- Line telephone sets with cordless handsets,,5.00,5.00,1,,,,India
851712 -- Telephones for cellular networks or for other wireless networks,,5.00,5.00,1,,,,India
851718 -- Other,,5.00,5.00,1,,,,India
851761 -- Base stations,,5.00,5.00,1,,,,India
"851762 -- Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",,5.00,5.00,1,,,,India
851769 -- Other,,5.00,5.00,1,,,,India
851770 - Parts,,5.00,5.00,1,,,,India
851810 -Microphones and stands therefor,,5.00,5.00,1,,,,India
"851821 -- Single loudspeakers, mounted in their enclosures",,5.00,5.00,1,,,,India
"851822 -- Multiple loudspeakers, mounted in the same enclosure",,5.00,5.00,1,,,,India
851829 -- Other,,5.00,5.00,1,,,,India
"851830 - Headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers",,5.00,5.00,1,,,,India
851840 - Audio-frequency electric amplifiers,,5.00,5.00,1,,,,India
851850 - Electric sound amplifier sets,,5.00,5.00,1,,,,India
851890 - Parts,,5.00,5.00,2,,,,India
"851920 - Apparatus operated by coins, banknotes, bank cards, tokens or by other means of payment",,5.00,5.00,1,,,,India
