Importer,Year,Value,Ad val. duties,Number of lines,European Union
,(US$),Simple average,MFN duties,Pref. duties,European Union
,MFN,Best,All items,Non ad val.,All items,Non ad val.,European Union
170490 - Other,"676,000",20.00,20.00,3,,,,European Union
,2004,"5,531,000",16.73,16.73,22,,,,European Union
170111 -- Cane sugar,,16.00,16.00,1,,,,European Union
170112 -- Beet sugar,,16.00,16.00,1,,,,European Union
170191 -- Containing added flavouring or colouring matter,"1,000",16.00,16.00,1,,,,European Union
170199 -- Other,"91,000",16.00,16.00,1,,,,European Union
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter","2,487,000",16.00,16.00,1,,,,European Union
170219 -- Other,"754,000",16.00,16.00,1,,,,European Union
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,European Union
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","227,000",16.00,16.00,3,,,,European Union
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar","2,000",16.00,16.00,2,,,,European Union
170250 - Chemically pure fructose,"109,000",16.00,16.00,1,,,,European Union
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar","6,000",16.00,16.00,2,,,,European Union
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","1,047,000",16.00,16.00,1,,,,European Union
170310 - Cane molasses,,16.00,16.00,1,,,,European Union
170390 - Other,,16.00,16.00,1,,,,European Union
"170410 - Chewing gum, whether or not sugar-coated","2,000",20.00,20.00,1,,,,European Union
170490 - Other,"805,000",20.00,20.00,3,,,,European Union
,2003,"4,941,000",18.23,18.23,22,,,,European Union
170111 -- Cane sugar,,17.50,17.50,1,,,,European Union
170112 -- Beet sugar,"1,000",17.50,17.50,1,,,,European Union
170191 -- Containing added flavouring or colouring matter,"2,000",17.50,17.50,1,,,,European Union
170199 -- Other,"4,000",17.50,17.50,1,,,,European Union
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter","1,862,000",17.50,17.50,1,,,,European Union
170219 -- Other,"1,022,000",17.50,17.50,1,,,,European Union
170220 - Maple sugar and maple syrup,,17.50,17.50,1,,,,European Union
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","240,000",17.50,17.50,3,,,,European Union
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar",,17.50,17.50,2,,,,European Union
170250 - Chemically pure fructose,"105,000",17.50,17.50,1,,,,European Union
