Importer,Year,Value,Ad val. duties,Number of lines,Japan
,(US$),Simple average,MFN duties,Pref. duties,Japan
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Japan
854720 - Insulating fittings of plastics,,3.70,3.70,1,,,,Japan
854790 - Other,,3.70,3.70,1,,,,Japan
"854810 - Waste and scrap of primary cells, primary batteries and electric accumulators; spent primary cells, spent primary batteries and spent electric accumulators",,1.98,1.98,5,,,,Japan
854890 - Other,,0.90,0.90,3,,,,Japan
,2017,"11,335,014,501",2.58,2.58,497,,,,Japan
850110 - Motors of an output not exceeding 37.5 W,"87,705,244",3.20,3.20,4,,,,Japan
850120 - Universal AC/DC motors of an output exceeding 37.5 W,"21,559,121",2.70,2.70,1,,,,Japan
850131 - - Of an output not exceeding 750 W,"112,100,215",2.70,2.70,1,,,,Japan
850132 - - Of an output exceeding 750 W but not exceeding 75 kW,"53,568,060",2.70,2.70,1,,,,Japan
850133 - - Of an output exceeding 75 kW but not exceeding 375 kW,"4,665,488",2.70,2.70,1,,,,Japan
850134 - - Of an output exceeding 375 kW,"35,407",2.70,2.70,1,,,,Japan
"850140 - Other AC motors, single-phase","10,744,942",2.70,2.70,2,,,,Japan
850151 - - Of an output not exceeding 750 W,"32,793,457",2.70,2.70,1,,,,Japan
850152 - - Of an output exceeding 750 W but not exceeding 75 kW,"60,812,560",2.70,2.70,3,,,,Japan
850153 - - Of an output exceeding 75 kW,"9,563,710",2.70,2.70,4,,,,Japan
850161 - - Of an output not exceeding 75 kVA,"9,159,782",2.70,2.70,2,,,,Japan
850162 - - Of an output exceeding 75 kVA but not exceeding 375 kVA,"1,952,958",2.70,2.70,1,,,,Japan
850163 - - Of an output exceeding 375 kVA but not exceeding 750 kVA,"10,357",2.70,2.70,1,,,,Japan
850164 - - Of an output exceeding 750 kVA,"538,807",2.70,2.70,1,,,,Japan
850211 - - Of an output not exceeding 75 kVA,"1,219,232",2.70,2.70,2,,,,Japan
850212 - - Of an output exceeding 75 kVA but not exceeding 375 kVA,"631,706",2.70,2.70,1,,,,Japan
850213 - - Of an output exceeding 375 kVA,"21,330",2.70,2.70,3,,,,Japan
850220 - Generating sets with spark-ignition internal combustion piston engines,"6,109,728",2.70,2.70,4,,,,Japan
850231 - - Wind-powered,"58,594",2.70,2.70,1,,,,Japan
850239 - - Other,"15,311,271",2.70,2.70,2,,,,Japan
850240 - Electric rotary converters,"146,666",2.70,2.70,1,,,,Japan
850300 Parts suitable for use solely or principally with the machines of heading 85.01 or 85.02.,"93,225,044",2.70,2.70,3,,,,Japan
850410 - Ballasts for discharge lamps or tubes,"1,938,957",3.70,3.70,2,,,,Japan
850421 - - Having a power handling capacity not exceeding 650 kVA,"81,886",3.70,3.70,1,,,,Japan
"850422 - - Having a power handling capacity exceeding 650 kVA but not exceeding 10,000 kVA","2,996,611",3.70,3.70,2,,,,Japan
"850423 - - Having a power handling capacity exceeding 10,000 kVA",29,3.70,3.70,1,,,,Japan
850431 - - Having a power handling capacity not exceeding 1 kVA,"5,000,618",3.70,3.70,3,,,,Japan
850432 - - Having a power handling capacity exceeding 1 kVA but not exceeding 16 kVA,"3,024,096",3.70,3.70,1,,,,Japan
850433 - - Having a power handling capacity exceeding 16 kVA but not exceeding 500 kVA,"4,335,126",3.70,3.70,1,,,,Japan
850434 - - Having a power handling capacity exceeding 500 kVA,"20,643,274",3.70,3.70,1,,,,Japan
850440 - Static converters,"339,300,308",2.08,2.08,6,,,,Japan
850450 - Other inductors,"131,416,741",1.40,1.40,2,,,,Japan
850490 - Parts,"54,835,635",1.02,1.02,5,,,,Japan
850511 - - Of metal,"16,233,996",2.20,2.20,1,,,,Japan
850519 - - Other,"13,766,043",2.20,2.20,2,,,,Japan
"850520 - Electro-magnetic couplings, clutches and brakes","36,603,990",2.20,2.20,1,,,,Japan
"850590 - Other, including parts","55,354,667",1.45,1.45,4,,,,Japan
850610 - Manganese dioxide,"2,827,446",4.70,4.70,4,,,,Japan
850630 - Mercuric oxide,"1,388",4.70,4.70,1,,,,Japan
850640 - Silver oxide,"8,697,837",4.70,4.70,1,,,,Japan
850650 - Lithium,"60,931,113",4.70,4.70,3,,,,Japan
850660 - Air-zinc,"8,081",4.70,4.70,1,,,,Japan
850680 - Other primary cells and primary batteries,"635,453",2.35,2.35,2,,,,Japan
850690 - Parts,"9,237,279",4.70,4.70,1,,,,Japan
"850710 - Lead-acid, of a kind used for starting piston engines","127,113,290",3.70,3.70,2,,,,Japan
850720 - Other lead-acid accumulators,"1,553,689",3.70,3.70,2,,,,Japan
850730 - Nickel-cadmium,"3,717,132",2.60,2.60,2,,,,Japan
850740 - Nickel-iron,"546,000",2.70,2.70,1,,,,Japan
850750 - Nickel-metal hydride,"115,565,326",2.70,2.70,1,,,,Japan
850760 - Lithium-ion,"538,136,221",2.70,2.70,1,,,,Japan
850780 - Other accumulators,"18,835,294",2.70,2.70,1,,,,Japan
850790 - Parts,"72,167,893",2.70,2.70,2,,,,Japan
"850811 - - Of a power not exceeding 1,500 W and having a dust bag or other receptacle capacity not exceeding 20 l","2,715,516",2.20,2.20,1,,,,Japan
850819 - - Other,"541,189",1.70,1.70,1,,,,Japan
850860 - Other vacuum cleaners,"318,384",1.70,1.70,1,,,,Japan
850870 - Parts,"300,706",1.70,1.70,1,,,,Japan
850940 - Food grinders and mixers; fruit or vegetable juice extractors,"166,496",2.20,2.20,1,,,,Japan
850980 - Other appliances,"1,779,602",2.20,2.20,1,,,,Japan
850990 - Parts,"193,870",2.20,2.20,1,,,,Japan
851010 - Shavers,"2,867,587",2.20,2.20,1,,,,Japan
851020 - Hair clippers,"19,214,543",2.20,2.20,1,,,,Japan
851030 - Hair-removing appliances,"41,241",2.20,2.20,1,,,,Japan
851090 - Parts,"3,901,446",2.20,2.20,1,,,,Japan
851110 - Sparking plugs,"246,365,486",3.20,3.20,1,,,,Japan
851120 - Ignition magnetos; magneto-dynamos; magnetic flywheels,"1,833,011",3.20,3.20,1,,,,Japan
851130 - Distributors; ignition coils,"32,860,657",3.20,3.20,1,,,,Japan
851140 - Starter motors and dual purpose starter-generators,"149,950,727",3.20,3.20,1,,,,Japan
851150 - Other generators,"106,145,290",3.20,3.20,1,,,,Japan
851180 - Other equipment,"55,298,246",3.20,3.20,1,,,,Japan
851190 - Parts,"106,757,798",3.20,3.20,1,,,,Japan
851210 - Lighting or visual signalling equipment of a kind used on bicycles,"2,694,183",2.70,2.70,1,,,,Japan
851220 - Other lighting or visual signalling equipment,"34,412,632",2.70,2.70,1,,,,Japan
851230 - Sound signalling equipment,"4,096,787",2.45,2.45,2,,,,Japan
"851240 - Windscreen wipers, defrosters and demisters","5,850,798",2.70,2.70,1,,,,Japan
851290 - Parts,"58,459,476",2.45,2.45,2,,,,Japan
851310 - Lamps,"1,955,376",5.70,5.70,1,,,,Japan
851390 - Parts,"39,720",5.70,5.70,1,,,,Japan
851410 - Resistance heated furnaces and ovens,"8,001,043",2.20,2.20,2,,,,Japan
851420 - Furnaces and ovens functioning by induction or dielectric loss,"9,073,276",2.20,2.20,2,,,,Japan
851430 - Other furnaces and ovens,"4,612,366",1.95,1.95,2,,,,Japan
851440 - Other equipment for the heat treatment of materials by induction or dielectric loss,"1,975,494",2.20,2.20,1,,,,Japan
851490 - Parts,"5,827,505",1.95,1.95,2,,,,Japan
851511 - - Soldering irons and guns,"417,940",2.70,2.70,1,,,,Japan
851519 - - Other,"2,000,130",2.35,2.35,2,,,,Japan
851521 - - Fully or partly automatic,"9,104,191",2.70,2.70,1,,,,Japan
851529 - - Other,"2,389,774",2.70,2.70,1,,,,Japan
851531 - - Fully or partly automatic,"25,751,251",2.70,2.70,1,,,,Japan
851539 - - Other,"4,006,592",2.70,2.70,3,,,,Japan
851580 - Other machines and apparatus,"24,510,762",2.70,2.70,2,,,,Japan
851590 - Parts,"466,748,438",1.35,1.35,2,,,,Japan
851610 - Electric instantaneous or storage water heaters and immersion heaters,"650,456",2.70,2.70,2,,,,Japan
851621 - - Storage heating radiators,,2.70,2.70,1,,,,Japan
851629 - - Other,"562,742",2.70,2.70,4,,,,Japan
851631 - - Hair dryers,"98,752",2.70,2.70,1,,,,Japan
851632 - - Other hair-dressing apparatus,"334,024",2.70,2.70,1,,,,Japan
851633 - - Hand-drying apparatus,"1,409,319",2.70,2.70,1,,,,Japan
851640 - Electric smoothing irons,"131,181",2.70,2.70,1,,,,Japan
851650 - Microwave ovens,"42,716",5.00,5.00,1,,,,Japan
"851660 - Other ovens; cookers, cooking plates, boiling rings, grillers and roasters","727,467",2.70,2.70,5,,,,Japan
851671 - - Coffee or tea makers,"20,640",2.70,2.70,1,,,,Japan
851672 - - Toasters,"16,964",2.70,2.70,1,,,,Japan
851679 - - Other,"2,009,697",2.70,2.70,2,,,,Japan
851680 - Electric heating resistors,"17,826,025",2.70,2.70,2,,,,Japan
