Importer,Year,Value,Ad val. duties,Number of lines,Russian Federation
,(US$),Simple average,MFN duties,Pref. duties,Russian Federation
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Russian Federation
950710 - Fishing rods,"20,796",3.70,0.00,1,,1,,Russian Federation
"950720 - Fish-hooks, whether or not snelled","5,164",2.70,0.00,2,,2,,Russian Federation
950730 - Fishing reels,"2,464",3.70,0.00,1,,1,,Russian Federation
950790 - Other,"121,341",3.70,0.00,1,,1,,Russian Federation
950810 - Travelling circuses and travelling menageries,"7,907",1.70,0.00,1,,1,,Russian Federation
950890 - Other,"133,200",1.70,0.00,1,,1,,Russian Federation
,2010,"21,433,851",2.12,2.12,66,,,,Russian Federation
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","2,644,308",2.09,2.09,18,,,,Russian Federation
950410 - Video games of a kind used with a television receiver,888,0.00,0.00,1,,,,Russian Federation
950420 - Articles and accessories for billiards of all kinds,"32,294",0.00,0.00,2,,,,Russian Federation
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by other means of payment, other than bowling alley equipment","11,310,846",0.00,0.00,4,,,,Russian Federation
950440 - Playing cards,"1,737",2.70,2.70,1,,,,Russian Federation
950490 - Other,"542,065",0.00,0.00,2,,,,Russian Federation
950510 - Articles for Christmas festivities,"153,622",1.35,1.35,2,,,,Russian Federation
950590 - Other,"34,336",2.70,2.70,1,,,,Russian Federation
950611 -- Skis,"1,784,684",3.70,3.70,4,,,,Russian Federation
950612 -- Ski-fastenings (ski-bindings),"35,542",3.70,3.70,1,,,,Russian Federation
950619 -- Other,"1,000,970",2.70,2.70,1,,,,Russian Federation
950621 -- Sailboards,,2.70,2.70,1,,,,Russian Federation
950629 -- Other,"5,860",2.70,2.70,1,,,,Russian Federation
"950631 -- Clubs, complete","2,718",2.70,2.70,1,,,,Russian Federation
950632 -- Balls,146,2.70,2.70,1,,,,Russian Federation
950639 -- Other,"2,453",2.70,2.70,2,,,,Russian Federation
950640 - Articles and equipment for table-tennis,809,2.70,2.70,2,,,,Russian Federation
"950651 -- Lawn-tennis rackets, whether or not strung",265,4.70,4.70,1,,,,Russian Federation
950659 -- Other,53,2.70,2.70,1,,,,Russian Federation
950661 -- Lawn-tennis balls,,2.70,2.70,1,,,,Russian Federation
950662 -- Inflatable,27,2.70,2.70,2,,,,Russian Federation
950669 -- Other,"13,562",1.35,1.35,2,,,,Russian Federation
"950670 - Ice skates and roller skates, including skating boots with skates attached","17,499",1.80,1.80,3,,,,Russian Federation
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","1,147,738",2.70,2.70,2,,,,Russian Federation
950699 -- Other,"1,826,019",1.35,1.35,2,,,,Russian Federation
950710 - Fishing rods,"49,594",3.70,3.70,1,,,,Russian Federation
"950720 - Fish-hooks, whether or not snelled","8,471",2.70,2.70,2,,,,Russian Federation
950730 - Fishing reels,"8,206",3.70,3.70,1,,,,Russian Federation
950790 - Other,"249,391",3.70,3.70,1,,,,Russian Federation
950810 - Travelling circuses and travelling menageries,"14,662",1.70,1.70,1,,,,Russian Federation
950890 - Other,"545,088",1.70,1.70,1,,,,Russian Federation
