Importer,Year,Value,Ad val. duties,Number of lines,Russian Federation
,(US$),Simple average,MFN duties,Pref. duties,Russian Federation
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Russian Federation
040299 -- Other,"93,845",17.50,17.50,9,7,,,Russian Federation
040310 - Yogurt,"28,136",19.00,19.00,4,1,,,Russian Federation
040390 - Other,,19.00,19.00,20,17,,,Russian Federation
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,11.50,8,5,,,Russian Federation
040490 - Other,,12.50,12.50,5,2,,,Russian Federation
040510 - Butter,,,,3,3,,,Russian Federation
040520 - Dairy spreads,,8.80,8.80,8,5,,,Russian Federation
040590 - Other,,10.00,10.00,3,1,,,Russian Federation
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,9.88,9.88,21,9,,,Russian Federation
"040620 - Grated or powdered cheese, of all kinds",,12.93,12.93,38,13,,,Russian Federation
"040630 - Processed cheese, not grated or powdered","22,583",12.54,12.54,36,13,,,Russian Federation
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,13.38,13.38,9,1,,,Russian Federation
040690 - Other cheese,"104,287",11.32,11.32,50,15,,,Russian Federation
040711 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Russian Federation
040719 -- Other,,,,1,1,,,Russian Federation
040721 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Russian Federation
040729 -- Other,,,,1,1,,,Russian Federation
040790 - Others,,,,1,1,,,Russian Federation
040811 -- Dried,,,,1,1,,,Russian Federation
040819 -- Other,,,,1,1,,,Russian Federation
040891 -- Dried,,,,1,1,,,Russian Federation
040899 -- Other,,,,1,1,,,Russian Federation
040900 Natural honey.,"519,847",,,1,1,,,Russian Federation
"041000 Edible products of animal origin, not elsewhere specified or included.",,1.10,1.10,1,,,,Russian Federation
,2014,"718,958",12.33,11.28,258,133,13,,Russian Federation
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,1,1,,,Russian Federation
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %","4,272",,,2,2,,,Russian Federation
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,3,3,,,Russian Federation
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,Russian Federation
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,3,3,,,Russian Federation
040221 -- Not containing added sugar or other sweetening matter,,,,9,9,,,Russian Federation
040229 -- Other,,17.50,17.50,3,1,,,Russian Federation
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Russian Federation
040299 -- Other,"179,399",17.50,17.50,9,7,,,Russian Federation
040310 - Yogurt,"29,760",19.00,19.00,4,1,,,Russian Federation
040390 - Other,,19.00,19.00,20,17,,,Russian Federation
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,8.67,8,5,1,,Russian Federation
040490 - Other,,12.50,9.38,5,2,1,,Russian Federation
040510 - Butter,,,,3,3,,,Russian Federation
040520 - Dairy spreads,,8.80,6.67,8,5,1,,Russian Federation
040590 - Other,,10.00,10.00,3,1,,,Russian Federation
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,9.88,8.21,21,9,2,,Russian Federation
"040620 - Grated or powdered cheese, of all kinds",,12.83,12.33,38,13,1,,Russian Federation
"040630 - Processed cheese, not grated or powdered","20,858",12.44,12.44,36,13,,,Russian Federation
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,13.38,13.38,9,1,,,Russian Federation
040690 - Other cheese,"52,250",11.59,11.16,50,15,1,,Russian Federation
040711 -- Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Russian Federation
040719 -- Other,,,0.00,1,1,1,,Russian Federation
040721 -- Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Russian Federation
040729 -- Other,,,0.00,1,1,1,,Russian Federation
040790 - Others,,,0.00,1,1,1,,Russian Federation
040811 -- Dried,,,,1,1,,,Russian Federation
040819 -- Other,,,,1,1,,,Russian Federation
040891 -- Dried,,,,1,1,,,Russian Federation
040899 -- Other,,,,1,1,,,Russian Federation
040900 Natural honey.,"432,419",,,1,1,,,Russian Federation
"041000 Edible products of animal origin, not elsewhere specified or included.",,1.10,0.00,1,,1,,Russian Federation
,2013,"837,204",12.36,11.29,258,137,13,,Russian Federation
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,1,1,,,Russian Federation
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %","15,314",,,2,2,,,Russian Federation
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %","5,746",,,3,3,,,Russian Federation
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,Russian Federation
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,3,3,,,Russian Federation
040221 -- Not containing added sugar or other sweetening matter,,,,9,9,,,Russian Federation
040229 -- Other,,17.50,17.50,3,1,,,Russian Federation
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Russian Federation
040299 -- Other,"122,672",17.50,17.50,9,7,,,Russian Federation
040310 - Yogurt,"43,809",19.00,19.00,4,1,,,Russian Federation
040390 - Other,,19.00,19.00,20,17,,,Russian Federation
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,8.67,8,5,1,,Russian Federation
040490 - Other,,12.50,9.38,5,2,1,,Russian Federation
040510 - Butter,,,,3,3,,,Russian Federation
040520 - Dairy spreads,,8.80,6.67,8,5,1,,Russian Federation
040590 - Other,,10.00,10.00,3,1,,,Russian Federation
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,9.88,8.21,21,9,2,,Russian Federation
"040620 - Grated or powdered cheese, of all kinds",,12.84,12.33,38,14,1,,Russian Federation
"040630 - Processed cheese, not grated or powdered","7,647",12.50,12.50,36,15,,,Russian Federation
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,13.38,13.38,9,1,,,Russian Federation
040690 - Other cheese,"49,488",11.66,11.21,50,16,1,,Russian Federation
040711 -- Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Russian Federation
040719 -- Other,,,0.00,1,1,1,,Russian Federation
040721 -- Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Russian Federation
040729 -- Other,,,0.00,1,1,1,,Russian Federation
040790 - Others,,,0.00,1,1,1,,Russian Federation
040811 -- Dried,,,,1,1,,,Russian Federation
040819 -- Other,,,,1,1,,,Russian Federation
040891 -- Dried,,,,1,1,,,Russian Federation
040899 -- Other,,,,1,1,,,Russian Federation
040900 Natural honey.,"592,528",,,1,1,,,Russian Federation
"041000 Edible products of animal origin, not elsewhere specified or included.",,1.10,0.00,1,,1,,Russian Federation
,2012,"782,812",12.14,11.13,258,133,13,,Russian Federation
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,1,1,,,Russian Federation
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,2,2,,,Russian Federation
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,3,3,,,Russian Federation
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,Russian Federation
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,3,3,,,Russian Federation
040221 -- Not containing added sugar or other sweetening matter,,,,9,9,,,Russian Federation
040229 -- Other,,17.50,17.50,3,1,,,Russian Federation
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Russian Federation
040299 -- Other,"144,794",17.50,17.50,9,7,,,Russian Federation
040310 - Yogurt,"63,599",19.00,19.00,4,1,,,Russian Federation
040390 - Other,,19.00,19.00,20,17,,,Russian Federation
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,8.67,8,5,1,,Russian Federation
040490 - Other,,12.50,9.38,5,2,1,,Russian Federation
040510 - Butter,"18,099",,,3,3,,,Russian Federation
040520 - Dairy spreads,,8.80,6.67,8,5,1,,Russian Federation
040590 - Other,,10.00,10.00,3,1,,,Russian Federation
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,9.74,8.07,21,9,2,,Russian Federation
"040620 - Grated or powdered cheese, of all kinds",,12.46,12.10,38,13,1,,Russian Federation
"040630 - Processed cheese, not grated or powdered","47,323",12.32,12.32,36,13,,,Russian Federation
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,12.12,12.12,9,1,,,Russian Federation
040690 - Other cheese,"44,332",11.58,11.18,50,15,1,,Russian Federation
040711 -- Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Russian Federation
040719 -- Other,,,0.00,1,1,1,,Russian Federation
040721 -- Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Russian Federation
040729 -- Other,,,0.00,1,1,1,,Russian Federation
040790 - Others,,,0.00,1,1,1,,Russian Federation
040811 -- Dried,,,,1,1,,,Russian Federation
040819 -- Other,,,,1,1,,,Russian Federation
040891 -- Dried,,,,1,1,,,Russian Federation
040899 -- Other,,,,1,1,,,Russian Federation
040900 Natural honey.,"464,665",,,1,1,,,Russian Federation
"041000 Edible products of animal origin, not elsewhere specified or included.",,1.10,0.00,1,,1,,Russian Federation
,2011,"747,472",12.38,11.66,251,126,9,,Russian Federation
"040110 - Of a fat content, by weight, not exceeding 1%",,,,1,1,,,Russian Federation
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6 %",,,,2,2,,,Russian Federation
"040130 - Of a fat content, by weight, exceeding 6%",,,,6,6,,,Russian Federation
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",,,,3,3,,,Russian Federation
040221 -- Not containing added sugar or other sweetening matter,,,,9,9,,,Russian Federation
040229 -- Other,,17.50,17.50,3,1,,,Russian Federation
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Russian Federation
040299 -- Other,"143,634",17.50,17.50,9,7,,,Russian Federation
040310 - Yogurt,"42,822",19.00,19.00,4,1,,,Russian Federation
040390 - Other,,19.00,19.00,20,17,,,Russian Federation
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,8.67,8,5,1,,Russian Federation
040490 - Other,,12.50,9.38,5,2,1,,Russian Federation
040510 - Butter,"5,896",,,3,3,,,Russian Federation
040520 - Dairy spreads,,8.80,6.67,8,5,1,,Russian Federation
040590 - Other,,10.00,10.00,3,1,,,Russian Federation
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd","9,325",9.88,8.21,21,9,2,,Russian Federation
"040620 - Grated or powdered cheese, of all kinds",,12.93,12.33,38,13,1,,Russian Federation
"040630 - Processed cheese, not grated or powdered","21,072",12.54,12.54,36,13,,,Russian Federation
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,13.38,13.38,9,1,,,Russian Federation
040690 - Other cheese,"137,236",11.61,11.18,50,15,1,,Russian Federation
"040700 Birds' eggs, in shell, fresh, preserved or cooked.",,,0.00,1,1,1,,Russian Federation
040811 -- Dried,,,,1,1,,,Russian Federation
040819 -- Other,,,,1,1,,,Russian Federation
040891 -- Dried,,,,1,1,,,Russian Federation
040899 -- Other,,,,1,1,,,Russian Federation
040900 Natural honey.,"387,487",,,1,1,,,Russian Federation
"041000 Edible products of animal origin, not elsewhere specified or included.",,1.10,0.00,1,,1,,Russian Federation
,2010,"656,017",12.25,11.54,251,126,13,4,Russian Federation
"040110 - Of a fat content, by weight, not exceeding 1%",,,,1,1,,,Russian Federation
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6 %",,,,2,2,,,Russian Federation
"040130 - Of a fat content, by weight, exceeding 6%",,,,6,6,,,Russian Federation
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",,,,3,3,,,Russian Federation
040221 -- Not containing added sugar or other sweetening matter,,,,9,9,,,Russian Federation
040229 -- Other,,17.50,17.50,3,1,,,Russian Federation
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Russian Federation
040299 -- Other,"67,015",17.50,17.50,9,7,,,Russian Federation
040310 - Yogurt,"34,031",19.00,19.00,4,1,,,Russian Federation
040390 - Other,,19.00,19.00,20,17,,,Russian Federation
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,8.67,8,5,1,,Russian Federation
040490 - Other,,12.50,9.38,5,2,1,,Russian Federation
040510 - Butter,"7,065",,,3,3,,,Russian Federation
040520 - Dairy spreads,,8.80,6.67,8,5,1,,Russian Federation
040590 - Other,,10.00,10.00,3,1,,,Russian Federation
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd","15,151",9.88,8.21,21,9,2,,Russian Federation
"040620 - Grated or powdered cheese, of all kinds",,12.76,12.16,38,13,3,2,Russian Federation
"040630 - Processed cheese, not grated or powdered",,12.45,12.45,36,13,1,1,Russian Federation
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,13.38,13.38,9,1,,,Russian Federation
040690 - Other cheese,"88,132",11.33,10.91,50,15,2,1,Russian Federation
"040700 Birds' eggs, in shell, fresh, preserved or cooked.",,,0.00,1,1,1,,Russian Federation
040811 -- Dried,,,,1,1,,,Russian Federation
040819 -- Other,,,,1,1,,,Russian Federation
040891 -- Dried,,,,1,1,,,Russian Federation
040899 -- Other,,,,1,1,,,Russian Federation
040900 Natural honey.,"444,623",,,1,1,,,Russian Federation
"041000 Edible products of animal origin, not elsewhere specified or included.",,1.10,0.00,1,,1,,Russian Federation
,2009,"547,297",12.38,11.66,251,126,9,,Russian Federation
"040110 - Of a fat content, by weight, not exceeding 1%",,,,1,1,,,Russian Federation
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6 %",,,,2,2,,,Russian Federation
"040130 - Of a fat content, by weight, exceeding 6%",,,,6,6,,,Russian Federation
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",,,,3,3,,,Russian Federation
040221 -- Not containing added sugar or other sweetening matter,,,,9,9,,,Russian Federation
040229 -- Other,,17.50,17.50,3,1,,,Russian Federation
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Russian Federation
040299 -- Other,"10,588",17.50,17.50,9,7,,,Russian Federation
040310 - Yogurt,"6,268",19.00,19.00,4,1,,,Russian Federation
040390 - Other,,19.00,19.00,20,17,,,Russian Federation
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,8.67,8,5,1,,Russian Federation
