Importer,Year,Value,Ad val. duties,Number of lines,Cambodia
,(US$),Simple average,MFN duties,Pref. duties,Cambodia
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Cambodia
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,10.00,10.00,1,,,,Cambodia
081190 - Other,,10.00,10.00,1,,,,Cambodia
081210 - Cherries,,10.00,10.00,1,,,,Cambodia
081290 - Other,,10.00,10.00,1,,,,Cambodia
081310 - Apricots,,10.00,10.00,1,,,,Cambodia
081320 - Prunes,,10.00,10.00,2,,,,Cambodia
081330 - Apples,,10.00,10.00,1,,,,Cambodia
081340 - Other fruit,,10.00,10.00,2,,,,Cambodia
081350 - Mixtures of nuts or dried fruits of this Chapter,,10.00,10.00,1,,,,Cambodia
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,10.00,10.00,1,,,,Cambodia
,2017,,10.49,10.49,75,,,,Cambodia
080111 - - Desiccated,,55.00,55.00,1,,,,Cambodia
080112 - - In the inner shell (endocarp),,10.00,10.00,1,,,,Cambodia
080119 - - Other,,10.00,10.00,1,,,,Cambodia
080121 - - In shell,,10.00,10.00,1,,,,Cambodia
080122 - - Shelled,,10.00,10.00,1,,,,Cambodia
080131 - - In shell,,10.00,10.00,1,,,,Cambodia
080132 - - Shelled,,10.00,10.00,1,,,,Cambodia
080211 - - In shell,,10.00,10.00,1,,,,Cambodia
080212 - - Shelled,,10.00,10.00,1,,,,Cambodia
080221 - - In shell,,6.00,6.00,1,,,,Cambodia
080222 - - Shelled,,6.00,6.00,1,,,,Cambodia
080231 - - In shell,,10.00,10.00,1,,,,Cambodia
080232 - - Shelled,,10.00,10.00,1,,,,Cambodia
080241 - - In shell,,10.00,10.00,1,,,,Cambodia
080242 - - Shelled,,10.00,10.00,1,,,,Cambodia
080251 - - In shell,,10.00,10.00,1,,,,Cambodia
080252 - - Shelled,,10.00,10.00,1,,,,Cambodia
080261 - - In shell,,10.00,10.00,1,,,,Cambodia
080262 - - Shelled,,10.00,10.00,1,,,,Cambodia
080270 - Kola nuts (Cola spp.),,10.00,10.00,1,,,,Cambodia
080280 - Areca nuts,,10.00,10.00,1,,,,Cambodia
080290 - Other,,10.00,10.00,1,,,,Cambodia
080310 - Plantains,,10.00,10.00,1,,,,Cambodia
080390 - Other,,10.00,10.00,1,,,,Cambodia
080410 - Dates,,10.00,10.00,2,,,,Cambodia
080420 - Figs,,10.00,10.00,2,,,,Cambodia
080430 - Pineapples,,10.00,10.00,1,,,,Cambodia
080440 - Avocados,,10.00,10.00,1,,,,Cambodia
"080450 - Guavas, mangoes and mangosteens",,10.00,10.00,3,,,,Cambodia
080510 - Oranges,,10.00,10.00,1,,,,Cambodia
080521 - - Mandarins (including tangerines and satsumas),,10.00,10.00,1,,,,Cambodia
080522 - - Clementines,,10.00,10.00,1,,,,Cambodia
080529 - - Other,,10.00,10.00,1,,,,Cambodia
"080540 - Grapefruit, including pomelos",,10.00,10.00,1,,,,Cambodia
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,10.00,10.00,1,,,,Cambodia
080590 - Other,,10.00,10.00,1,,,,Cambodia
080610 - Fresh,,10.00,10.00,1,,,,Cambodia
080620 - Dried,,10.00,10.00,1,,,,Cambodia
080711 - - Watermelons,,10.00,10.00,1,,,,Cambodia
080719 - - Other,,10.00,10.00,1,,,,Cambodia
080720 - Papaws (papayas),,10.00,10.00,1,,,,Cambodia
080810 - Apples,,10.00,10.00,1,,,,Cambodia
080830 - Pears,,10.00,10.00,1,,,,Cambodia
080840 - Quinces,,10.00,10.00,1,,,,Cambodia
080910 - Apricots,,10.00,10.00,1,,,,Cambodia
080921 - - Sour cherries (Prunus cerasus),,10.00,10.00,1,,,,Cambodia
080929 - - Other,,10.00,10.00,1,,,,Cambodia
"080930 - Peaches, including nectarines",,10.00,10.00,2,,,,Cambodia
080940 - Plums and sloes,,10.00,10.00,1,,,,Cambodia
081010 - Strawberries,,10.00,10.00,1,,,,Cambodia
"081020 - Raspberries, blackberries, mulberries and loganberries",,10.00,10.00,1,,,,Cambodia
"081030 - Black, white or red currants and gooseberries",,10.00,10.00,1,,,,Cambodia
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,10.00,10.00,1,,,,Cambodia
081050 - Kiwifruit,,10.00,10.00,1,,,,Cambodia
081060 - Durians,,10.00,10.00,1,,,,Cambodia
081070 - Persimmons,,10.00,10.00,1,,,,Cambodia
081090 - Other,,10.00,10.00,1,,,,Cambodia
081110 - Strawberries,,10.00,10.00,1,,,,Cambodia
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,10.00,10.00,1,,,,Cambodia
081190 - Other,,10.00,10.00,1,,,,Cambodia
081210 - Cherries,,10.00,10.00,1,,,,Cambodia
081290 - Other,,10.00,10.00,1,,,,Cambodia
081310 - Apricots,,10.00,10.00,1,,,,Cambodia
081320 - Prunes,,10.00,10.00,2,,,,Cambodia
081330 - Apples,,10.00,10.00,1,,,,Cambodia
081340 - Other fruit,,10.00,10.00,2,,,,Cambodia
