Importer,Year,Value,Ad val. duties,Number of lines,China
,(US$),Simple average,MFN duties,Pref. duties,China
,MFN,Best,All items,Non ad val.,All items,Non ad val.,China
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar",,17.50,17.50,2,,,,China
170250 - Chemically pure fructose,,17.50,17.50,1,,,,China
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,17.50,17.50,2,,,,China
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","116,000",17.50,17.50,1,,,,China
170310 - Cane molasses,,17.50,17.50,1,,,,China
170390 - Other,,17.50,17.50,1,,,,China
"170410 - Chewing gum, whether or not sugar-coated",,21.50,21.50,1,,,,China
170490 - Other,"11,000",21.50,21.50,3,,,,China
,2002,"121,390",18.23,18.23,22,,,,China
170111 -- Cane sugar,,17.50,17.50,1,,,,China
170112 -- Beet sugar,,17.50,17.50,1,,,,China
170191 -- Containing added flavouring or colouring matter,,17.50,17.50,1,,,,China
170199 -- Other,,17.50,17.50,1,,,,China
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,17.50,17.50,1,,,,China
170219 -- Other,,17.50,17.50,1,,,,China
170220 - Maple sugar and maple syrup,,17.50,17.50,1,,,,China
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","10,382",17.50,17.50,3,,,,China
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar",,17.50,17.50,2,,,,China
170250 - Chemically pure fructose,85,17.50,17.50,1,,,,China
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,17.50,17.50,2,,,,China
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","86,281",17.50,17.50,1,,,,China
170310 - Cane molasses,,17.50,17.50,1,,,,China
170390 - Other,30,17.50,17.50,1,,,,China
"170410 - Chewing gum, whether or not sugar-coated",,21.50,21.50,1,,,,China
170490 - Other,"24,612",21.50,21.50,3,,,,China
,2001,"298,782",19.23,19.23,22,,,,China
170111 - - Cane sugar,,18.50,18.50,1,,,,China
170112 - - Beet sugar,,18.50,18.50,1,,,,China
170191 - - Containing added flavouring or colouring matter,,18.50,18.50,1,,,,China
170199 - - Other,,18.50,18.50,1,,,,China
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,18.50,18.50,1,,,,China
170219 - - Other,,18.50,18.50,1,,,,China
170220 - Maple sugar and maple syrup,,18.50,18.50,1,,,,China
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,18.50,18.50,3,,,,China
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose",,18.50,18.50,2,,,,China
170250 - Chemically pure fructose,,18.50,18.50,1,,,,China
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose",,18.50,18.50,2,,,,China
"170290 - Other, including invert sugar","4,903",18.50,18.50,1,,,,China
170310 - Cane molasses,,18.50,18.50,1,,,,China
170390 - Other,,18.50,18.50,1,,,,China
"170410 - Chewing gum, whether or not sugar-coated",,22.50,22.50,1,,,,China
170490 - Other,"293,879",22.50,22.50,3,,,,China
,2000,"267,784",19.73,19.73,22,,,,China
170111 - - Cane sugar,,19.00,19.00,1,,,,China
170112 - - Beet sugar,,19.00,19.00,1,,,,China
170191 - - Containing added flavouring or colouring matter,,19.00,19.00,1,,,,China
170199 - - Other,"4,507",19.00,19.00,1,,,,China
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,19.00,19.00,1,,,,China
170219 - - Other,,19.00,19.00,1,,,,China
170220 - Maple sugar and maple syrup,,19.00,19.00,1,,,,China
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,19.00,19.00,3,,,,China
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose",,19.00,19.00,2,,,,China
170250 - Chemically pure fructose,,19.00,19.00,1,,,,China
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose",,19.00,19.00,2,,,,China
"170290 - Other, including invert sugar","3,919",19.00,19.00,1,,,,China
170310 - Cane molasses,,19.00,19.00,1,,,,China
170390 - Other,,19.00,19.00,1,,,,China
"170410 - Chewing gum, whether or not sugar-coated","91,405",23.00,23.00,1,,,,China
170490 - Other,"167,953",23.00,23.00,3,,,,China
,1999,"81,070",19.73,19.73,22,,,,China
170111 - - Cane sugar,136,19.00,19.00,1,,,,China
170112 - - Beet sugar,,19.00,19.00,1,,,,China
170191 - - Containing added flavouring or colouring matter,,19.00,19.00,1,,,,China
170199 - - Other,,19.00,19.00,1,,,,China
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,19.00,19.00,1,,,,China
170219 - - Other,"1,300",19.00,19.00,1,,,,China
170220 - Maple sugar and maple syrup,,19.00,19.00,1,,,,China
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,19.00,19.00,3,,,,China
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose",,19.00,19.00,2,,,,China
170250 - Chemically pure fructose,,19.00,19.00,1,,,,China
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose","1,009",19.00,19.00,2,,,,China
"170290 - Other, including invert sugar","7,222",19.00,19.00,1,,,,China
170310 - Cane molasses,,19.00,19.00,1,,,,China
170390 - Other,,19.00,19.00,1,,,,China
