Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
080232 -- Shelled,"306,205,012",5.10,5.10,1,,,,United States of America
080241 -- In shell,"55,037",5.60,5.60,1,,,,United States of America
080242 -- Shelled,438,5.60,5.60,1,,,,United States of America
080251 -- In shell,"384,953,855",1.60,1.60,1,,,,United States of America
080252 -- Shelled,"27,922,158",1.60,1.60,1,,,,United States of America
080261 -- In shell,"2,257",2.00,2.00,1,,,,United States of America
080262 -- Shelled,"593,634",2.00,2.00,1,,,,United States of America
080270 - Kola nuts (Cola spp.),50,0.00,0.00,1,,,,United States of America
080280 - Areca nuts,622,0.00,0.00,1,,,,United States of America
080290 - Other,"134,144,871",1.33,1.33,3,,,,United States of America
080310 - Plantains,"2,813",16.00,16.00,2,,,,United States of America
080390 - Other,"4,536",16.00,16.00,2,1,,,United States of America
080410 - Dates,"8,288,667",7.70,7.70,1,,,,United States of America
080420 - Figs,"42,308",6.80,6.80,2,,,,United States of America
080430 - Pineapples,"60,393",5.80,5.80,1,,,,United States of America
080440 - Avocados,"3,631,764",4.00,4.00,1,,,,United States of America
"080450 - Guavas, mangoes and mangosteens","16,902,608",0.00,0.00,1,,,,United States of America
080510 - Oranges,"18,050",16.00,16.00,2,1,,,United States of America
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids","5,045,859",,,5,5,,,United States of America
"080540 - Grapefruit, including pomelos","34,999,280",1.50,1.50,1,,,,United States of America
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)","863,962",12.80,12.80,2,1,,,United States of America
080590 - Other,"187,180",12.80,12.80,1,,,,United States of America
080610 - Fresh,"13,118,656",14.40,14.40,2,1,,,United States of America
080620 - Dried,"80,899,809",2.40,2.40,3,,,,United States of America
080711 -- Watermelons,38,8.80,8.80,1,,,,United States of America
080719 -- Other,"15,418",8.80,8.80,1,,,,United States of America
080720 - Papaws (papayas),"58,405",0.00,0.00,1,,,,United States of America
080810 - Apples,"6,684,673",,,2,2,,,United States of America
080830 - Pears,"64,635",,,2,2,,,United States of America
080840 - Quinces,,7.20,7.20,1,,,,United States of America
080910 - Apricots,,,,1,1,,,United States of America
080921 -- Sour cherries (Prunus cerasus),,,,1,1,,,United States of America
080929 -- Other,"3,772,715",,,1,1,,,United States of America
"080930 - Peaches, including nectarines",,,,2,2,,,United States of America
080940 - Plums and sloes,,12.00,12.00,2,1,,,United States of America
081010 - Strawberries,"4,338,179",11.20,11.20,1,,,,United States of America
"081020 - Raspberries, blackberries, mulberries and loganberries","1,815,926",9.20,9.20,2,,,,United States of America
"081030 - Black, white or red currants and gooseberries",,9.07,9.07,3,,,,United States of America
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium","11,644,025",4.00,4.00,4,,,,United States of America
081050 - Kiwifruit,,8.80,8.80,1,,,,United States of America
081060 - Durians,,8.80,8.80,1,,,,United States of America
081070 - Persimmons,,8.80,8.80,1,,,,United States of America
081090 - Other,"3,243,371",4.40,4.40,2,,,,United States of America
081110 - Strawberries,"596,294",17.60,17.60,3,1,,,United States of America
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries","815,355",14.67,14.67,7,1,,,United States of America
081190 - Other,"13,373,903",10.75,10.75,10,2,,,United States of America
081210 - Cherries,"24,964",8.80,8.80,1,,,,United States of America
081290 - Other,"2,510",7.16,7.16,5,,,,United States of America
081310 - Apricots,"26,382",5.60,5.60,1,,,,United States of America
081320 - Prunes,"58,004,508",9.60,9.60,1,,,,United States of America
081330 - Apples,"1,219,471",3.20,3.20,1,,,,United States of America
081340 - Other fruit,"2,754,194",3.28,3.28,5,,,,United States of America
081350 - Mixtures of nuts or dried fruits of this Chapter,"569,018",6.86,6.86,7,,,,United States of America
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.","126,045",1.60,1.60,1,,,,United States of America
,2015,"3,248,249,693",6.67,6.67,124,23,,,United States of America
080111 -- Desiccated,"91,908",0.00,0.00,1,,,,United States of America
080112 -- In the inner shell (endocarp),,0.00,0.00,1,,,,United States of America
080119 -- Other,"192,447",0.00,0.00,1,,,,United States of America
080121 -- In shell,160,0.00,0.00,1,,,,United States of America
080122 -- Shelled,"125,765",0.00,0.00,1,,,,United States of America
080131 -- In shell,"164,683",0.00,0.00,1,,,,United States of America
080132 -- Shelled,"2,218,874",0.00,0.00,1,,,,United States of America
080211 -- In shell,"14,459,993",2.80,2.80,2,,,,United States of America
080212 -- Shelled,"1,863,216,414",1.75,1.75,2,,,,United States of America
080221 -- In shell,"3,227,929",3.20,3.20,1,,,,United States of America
080222 -- Shelled,"2,106,853",3.20,3.20,1,,,,United States of America
080231 -- In shell,"108,403,029",4.00,4.00,1,,,,United States of America
080232 -- Shelled,"331,603,016",5.10,5.10,1,,,,United States of America
080241 -- In shell,,5.60,5.60,1,,,,United States of America
080242 -- Shelled,"2,099",5.60,5.60,1,,,,United States of America
080251 -- In shell,"485,656,864",1.60,1.60,1,,,,United States of America
080252 -- Shelled,"35,404,253",1.60,1.60,1,,,,United States of America
080261 -- In shell,481,2.00,2.00,1,,,,United States of America
080262 -- Shelled,"434,225",2.00,2.00,1,,,,United States of America
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,United States of America
080280 - Areca nuts,,0.00,0.00,1,,,,United States of America
080290 - Other,"101,614,369",1.33,1.33,3,,,,United States of America
080310 - Plantains,6,16.00,16.00,2,,,,United States of America
080390 - Other,"781,608",16.00,16.00,2,1,,,United States of America
080410 - Dates,"7,943,697",7.70,7.70,1,,,,United States of America
080420 - Figs,"33,393",6.80,6.80,2,,,,United States of America
080430 - Pineapples,"26,078",5.80,5.80,1,,,,United States of America
080440 - Avocados,"187,644",4.00,4.00,1,,,,United States of America
"080450 - Guavas, mangoes and mangosteens","10,130,280",0.00,0.00,1,,,,United States of America
080510 - Oranges,"16,406",16.00,16.00,2,1,,,United States of America
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids","8,835,983",,,5,5,,,United States of America
"080540 - Grapefruit, including pomelos","40,866,822",1.50,1.50,1,,,,United States of America
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)","418,476",12.80,12.80,2,1,,,United States of America
080590 - Other,"230,372",12.80,12.80,1,,,,United States of America
080610 - Fresh,"18,361,366",14.40,14.40,2,1,,,United States of America
080620 - Dried,"82,019,181",2.40,2.40,3,,,,United States of America
080711 -- Watermelons,,8.80,8.80,1,,,,United States of America
080719 -- Other,,8.80,8.80,1,,,,United States of America
